sample_group,strategy_id,ma_period,threshold,horizon,date_count,mean_daily_return,median_daily_return,positive_date_fraction
primary_development_2022_2023_partial,fu_r3_core_pullback,120,all,1d,199,-0.0007350191706187673,-0.0002355759308812148,0.49748743718592964
primary_development_2022_2023_partial,fu_r3_core_pullback,120,all,5d,199,0.00010429725255412047,0.0032707561387970182,0.5829145728643216
primary_development_2022_2023_partial,fu_r3_core_pullback,120,ge1,60m,59,-0.005483854443702579,-0.0063294919686150974,0.3728813559322034
primary_development_2022_2023_partial,fu_r3_core_pullback,120,ge1,1d,59,-0.01323855749839582,-0.01106143524653147,0.3559322033898305
primary_development_2022_2023_partial,fu_r3_core_pullback,120,ge1,5d,58,-0.007637556720686544,-0.006113500232492186,0.46551724137931033
primary_development_2022_2023_partial,fu_r3_core_pullback,120,ge2,60m,4,-0.005725688783161809,-0.013187297699780142,0.25
primary_development_2022_2023_partial,fu_r3_core_pullback,120,ge2,1d,4,-0.02548345592483243,-0.015503043388379323,0.5
primary_development_2022_2023_partial,fu_r3_core_pullback,120,ge2,5d,4,-0.053979160421780026,-0.06477937852453358,0.25
primary_development_2022_2023_partial,fu_r3_core_pullback,120,ge3,60m,1,0.018246145632952127,0.018246145632952127,1.0
primary_development_2022_2023_partial,fu_r3_core_pullback,120,ge3,1d,1,0.06047098989467625,0.06047098989467625,1.0
primary_development_2022_2023_partial,fu_r3_core_pullback,120,ge3,5d,1,-0.11118798328971374,-0.11118798328971374,0.0
primary_development_2022_2023_partial,fu_r3_core_pullback,120,ge4,60m,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,120,ge4,1d,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,120,ge4,5d,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,120,ge5,60m,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,120,ge5,1d,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,120,ge5,5d,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,240,all,60m,199,-0.0030166166556538122,-0.0029918186914502424,0.22613065326633167
primary_development_2022_2023_partial,fu_r3_core_pullback,240,all,1d,199,-0.0005707486736962709,0.0007061187637052406,0.5175879396984925
primary_development_2022_2023_partial,fu_r3_core_pullback,240,all,5d,199,0.0005621757237386527,0.004369011913417758,0.5577889447236181
primary_development_2022_2023_partial,fu_r3_core_pullback,240,ge1,60m,76,-0.003205451689659021,-0.0048218411048580575,0.34210526315789475
primary_development_2022_2023_partial,fu_r3_core_pullback,240,ge1,1d,75,-0.003812307401481694,-0.006468987171768997,0.4533333333333333
primary_development_2022_2023_partial,fu_r3_core_pullback,240,ge1,5d,75,-0.014544304854170556,-0.01596409380105268,0.41333333333333333
primary_development_2022_2023_partial,fu_r3_core_pullback,240,ge2,60m,10,-0.017550435069300135,-0.020376666436207558,0.3
primary_development_2022_2023_partial,fu_r3_core_pullback,240,ge2,1d,9,-0.0033482336131680996,-0.024905291287391607,0.4444444444444444
primary_development_2022_2023_partial,fu_r3_core_pullback,240,ge2,5d,10,-0.022354712021662726,-0.027537491878139475,0.3
primary_development_2022_2023_partial,fu_r3_core_pullback,240,ge3,60m,1,-0.05779557969210114,-0.05779557969210114,0.0
primary_development_2022_2023_partial,fu_r3_core_pullback,240,ge3,1d,1,-0.12626973814470988,-0.12626973814470988,0.0
primary_development_2022_2023_partial,fu_r3_core_pullback,240,ge3,5d,1,-0.15365940152575353,-0.15365940152575353,0.0
primary_development_2022_2023_partial,fu_r3_core_pullback,240,ge4,60m,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,240,ge4,1d,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,240,ge4,5d,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,240,ge5,60m,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,240,ge5,1d,0,,,
primary_development_2022_2023_partial,fu_r3_core_pullback,240,ge5,5d,0,,,
primary_development_2022_2023_partial,ht_r3_core_pullback,10,all,60m,331,-0.0034356117816355964,-0.0033686269593148415,0.16012084592145015
primary_development_2022_2023_partial,ht_r3_core_pullback,10,all,1d,331,-0.0033227287695659895,-0.002336823702796045,0.4259818731117825
primary_development_2022_2023_partial,ht_r3_core_pullback,10,all,5d,331,-0.004345813910257115,-0.0024163211006595557,0.4743202416918429
primary_development_2022_2023_partial,ht_r3_core_pullback,10,ge1,60m,116,-0.025210074891102215,-0.022473057442616053,0.19827586206896552
primary_development_2022_2023_partial,ht_r3_core_pullback,10,ge1,1d,114,-0.02979983506859188,-0.03491401119124232,0.30701754385964913
primary_development_2022_2023_partial,ht_r3_core_pullback,10,ge1,5d,116,-0.07110471213139774,-0.09169900105417605,0.21551724137931033
primary_development_2022_2023_partial,ht_r3_core_pullback,10,ge2,60m,72,-0.028069214656838107,-0.021108536295081443,0.2222222222222222
primary_development_2022_2023_partial,ht_r3_core_pullback,10,ge2,1d,71,-0.03667199849770128,-0.04296824279438516,0.323943661971831
primary_development_2022_2023_partial,ht_r3_core_pullback,10,ge2,5d,72,-0.09579190065712558,-0.12294849279576997,0.20833333333333334
primary_development_2022_2023_partial,ht_r3_core_pullback,10,ge3,60m,42,-0.02550602533285972,-0.010968163227943695,0.23809523809523808
primary_development_2022_2023_partial,ht_r3_core_pullback,10,ge3,1d,42,-0.03344729836821431,-0.037565541681954306,0.2857142857142857
primary_development_2022_2023_partial,ht_r3_core_pullback,10,ge3,5d,42,-0.08742965996745776,-0.14891697142258198,0.2857142857142857
primary_development_2022_2023_partial,ht_r3_core_pullback,10,ge4,60m,25,-0.03325107092058595,-0.027196023322356377,0.24
primary_development_2022_2023_partial,ht_r3_core_pullback,10,ge4,1d,25,-0.05249359542999876,-0.10271462763701267,0.28
primary_development_2022_2023_partial,ht_r3_core_pullback,10,ge4,5d,25,-0.10453829816985652,-0.20076054309472402,0.24
primary_development_2022_2023_partial,ht_r3_core_pullback,10,ge5,60m,12,-0.06559944336624872,-0.059274508022994346,0.08333333333333333
primary_development_2022_2023_partial,ht_r3_core_pullback,10,ge5,1d,12,-0.0822693907299636,-0.10692888744301268,0.16666666666666666
primary_development_2022_2023_partial,ht_r3_core_pullback,10,ge5,5d,12,-0.16577670637975087,-0.24431273752554952,0.16666666666666666
primary_development_2022_2023_partial,ht_r3_core_pullback,20,all,60m,331,-0.0035390813493851032,-0.00328796476909165,0.1540785498489426
primary_development_2022_2023_partial,ht_r3_core_pullback,20,all,1d,331,-0.0035543530878098303,-0.0021252941493970614,0.43202416918429004
primary_development_2022_2023_partial,ht_r3_core_pullback,20,all,5d,331,-0.003915590847606002,-0.0006332513078367703,0.49244712990936557
primary_development_2022_2023_partial,ht_r3_core_pullback,20,ge1,60m,41,-0.01343844462381853,-0.00896108761966341,0.3170731707317073
primary_development_2022_2023_partial,ht_r3_core_pullback,20,ge1,1d,41,-0.02002105430145062,-0.02069326972203467,0.34146341463414637
primary_development_2022_2023_partial,ht_r3_core_pullback,20,ge1,5d,41,-0.03866649783810302,-0.048537217429466706,0.36585365853658536
primary_development_2022_2023_partial,ht_r3_core_pullback,20,ge2,60m,0,,,
primary_development_2022_2023_partial,ht_r3_core_pullback,20,ge2,1d,0,,,
primary_development_2022_2023_partial,ht_r3_core_pullback,20,ge2,5d,0,,,
