变更日期,证券代码,证券简称,变更前全称,变更后全称
2004-03-30,000567,海德股份,海南海德纺织实业股份有限公司,海南海德实业股份有限公司
2004-04-08,000799,酒鬼酒,湖南酒鬼酒股份有限公司,酒鬼酒股份有限公司
2004-04-21,000509,华塑控股,四川天歌科技集团股份有限公司,同人华塑股份有限公司
2004-05-19,000892,欢瑞世纪,重庆长丰通信股份有限公司,长丰通信集团股份有限公司
2004-05-28,000527,美的电器,广东美的集团股份有限公司,广东美的电器股份有限公司
2004-06-01,000600,建投能源,石家庄国际大厦(集团)股份有限公司,河北建投能源投资股份有限公司
2004-06-09,000584,工智退,成都蜀都大厦股份有限公司,四川舒卡特种纤维股份有限公司
2004-06-09,000803,山高环能,四川美亚丝绸(集团)股份有限公司,四川金宇汽车城（集团）股份有限公司
2004-06-10,000809,和展能源,四川第一纺织股份有限公司,四川中汇医药(集团)股份有限公司
2004-06-11,000966,长源电力,湖北长源电力发展股份有限公司,国电长源电力股份有限公司
2004-06-24,200024,招商局Ｂ,招商局蛇口控股股份有限公司,招商局地产控股股份有限公司
2004-06-24,000024,招商地产,招商局蛇口控股股份有限公司,招商局地产控股股份有限公司
2004-07-12,000989,九芝堂,湖南九芝堂股份有限公司,九芝堂股份有限公司
2004-07-14,000699,*ST 佳纸,佳木斯造纸股份有限公司,佳木斯金地造纸股份有限公司
2004-07-23,000156,华数传媒,湖南安塑股份有限公司,湖南嘉瑞新材料集团股份有限公司
2004-08-16,000519,中兵红箭,成都银河创新科技股份有限公司,成都银河动力股份有限公司
2004-08-19,000838,*ST发展,西南化机股份有限公司,蓝星石化科技股份有限公司
2004-09-02,000569,长城股份,四川川投长城特殊钢股份有限公司,攀钢集团四川长城特殊钢股份有限公司
2004-09-14,000968,蓝焰控股,山西神州煤电焦化股份有限公司,太原煤气化股份有限公司
2004-09-28,000905,厦门港务,厦门路桥股份有限公司,厦门港务发展股份有限公司
2004-10-13,000515,攀渝钛业,重庆渝港钛白粉股份有限公司,攀钢集团重庆钛业股份有限公司
2004-10-13,000861,海印股份,茂名永业(集团)股份有限公司,广东海印永业（集团）股份有限公司
2004-11-05,000901,航天科技,哈尔滨航天风华科技股份有限公司,航天科技控股集团股份有限公司
2004-11-18,002017,东信和平,珠海东信和平智能卡股份有限公司,东信和平智能卡股份有限公司
2004-12-01,000662,天夏退,广西红日股份有限公司,索芙特股份有限公司
