sample_group,strategy_id,ma_period,signal_count,date_count,symbol_count,author_id,hypothesis_id,author_label,is_control
supplemental_2023_09_legacy,s0_strong_no_ma,20,108604,20,3049,,,rule_or_control,False
supplemental_2023_09_legacy,s0_strong_no_ma,40,108593,20,3049,,,rule_or_control,False
supplemental_2023_09_legacy,s0_strong_no_ma,60,108568,20,3048,,,rule_or_control,False
supplemental_2023_09_legacy,s0_strong_no_ma,120,108523,20,3046,,,rule_or_control,False
supplemental_2023_09_legacy,s0_strong_no_ma,240,108447,20,3044,,,rule_or_control,False
supplemental_2023_09_legacy,s1_break_reclaim_stable3,10,61986,20,3049,,,rule_or_control,False
supplemental_2023_09_legacy,s1_break_reclaim_stable3,20,45606,20,3049,,,rule_or_control,False
supplemental_2023_09_legacy,s1_break_reclaim_stable3,40,31943,20,3028,,,rule_or_control,False
supplemental_2023_09_legacy,s1_break_reclaim_stable3,60,26494,20,2937,,,rule_or_control,False
supplemental_2023_09_legacy,s1_break_reclaim_stable3,120,18555,20,2278,,,rule_or_control,False
supplemental_2023_09_legacy,s1_break_reclaim_stable3,240,12483,20,1736,,,rule_or_control,False
supplemental_2023_09_legacy,s1_near_reversal,10,85074,20,3049,,,rule_or_control,False
supplemental_2023_09_legacy,s1_near_reversal,20,64287,20,3049,,,rule_or_control,False
supplemental_2023_09_legacy,s1_near_reversal,40,45149,20,3033,,,rule_or_control,False
supplemental_2023_09_legacy,s1_near_reversal,60,37870,20,2955,,,rule_or_control,False
supplemental_2023_09_legacy,s1_near_reversal,120,26170,20,2308,,,rule_or_control,False
supplemental_2023_09_legacy,s1_near_reversal,240,17418,20,1770,,,rule_or_control,False
supplemental_2023_09_legacy,s1_touch_immediate,10,81045,20,3049,,,rule_or_control,False
supplemental_2023_09_legacy,s1_touch_immediate,20,59726,20,3049,,,rule_or_control,False
supplemental_2023_09_legacy,s1_touch_immediate,40,41774,20,3037,,,rule_or_control,False
supplemental_2023_09_legacy,s1_touch_immediate,60,35025,20,2982,,,rule_or_control,False
supplemental_2023_09_legacy,s1_touch_immediate,120,24182,20,2372,,,rule_or_control,False
supplemental_2023_09_legacy,s1_touch_immediate,240,16336,20,1830,,,rule_or_control,False
supplemental_2023_09_legacy,s1_touch_reclaim,10,73548,20,3049,,,rule_or_control,False
supplemental_2023_09_legacy,s1_touch_reclaim,20,54349,20,3049,,,rule_or_control,False
supplemental_2023_09_legacy,s1_touch_reclaim,40,37885,20,3033,,,rule_or_control,False
supplemental_2023_09_legacy,s1_touch_reclaim,60,31752,20,2970,,,rule_or_control,False
supplemental_2023_09_legacy,s1_touch_reclaim,120,21894,20,2334,,,rule_or_control,False
supplemental_2023_09_legacy,s1_touch_reclaim,240,14812,20,1788,,,rule_or_control,False
supplemental_2023_09_legacy,s2_first_touch_reclaim,10,229,20,221,,,rule_or_control,False
supplemental_2023_09_legacy,s2_first_touch_reclaim,20,1827,20,1569,,,rule_or_control,False
supplemental_2023_09_legacy,s2_first_touch_reclaim,40,2901,20,2292,,,rule_or_control,False
supplemental_2023_09_legacy,s2_first_touch_reclaim,60,2848,20,2322,,,rule_or_control,False
supplemental_2023_09_legacy,s2_first_touch_reclaim,120,2132,20,1791,,,rule_or_control,False
supplemental_2023_09_legacy,s2_first_touch_reclaim,240,1505,20,1321,,,rule_or_control,False
supplemental_2023_09_legacy,s2_reclaim_acceleration,10,43469,20,2994,,,rule_or_control,False
supplemental_2023_09_legacy,s2_reclaim_acceleration,20,31828,20,2871,,,rule_or_control,False
supplemental_2023_09_legacy,s2_reclaim_acceleration,40,21794,20,2576,,,rule_or_control,False
supplemental_2023_09_legacy,s2_reclaim_acceleration,60,18410,20,2486,,,rule_or_control,False
supplemental_2023_09_legacy,s2_reclaim_acceleration,120,10452,20,2002,,,rule_or_control,False
supplemental_2023_09_legacy,s2_reclaim_acceleration,240,7347,20,1433,,,rule_or_control,False
supplemental_2023_09_legacy,s2_reclaim_bull_stack,10,2727,20,466,,,rule_or_control,False
supplemental_2023_09_legacy,s2_reclaim_bull_stack,20,2032,20,445,,,rule_or_control,False
supplemental_2023_09_legacy,s2_reclaim_bull_stack,40,900,20,305,,,rule_or_control,False
supplemental_2023_09_legacy,s2_reclaim_bull_stack,60,342,20,164,,,rule_or_control,False
supplemental_2023_09_legacy,s2_reclaim_bull_stack,120,85,18,50,,,rule_or_control,False
supplemental_2023_09_legacy,s2_reclaim_bull_stack,240,23,11,15,,,rule_or_control,False
supplemental_2023_09_legacy,s2_reclaim_daily_trend,10,21875,20,2067,,,rule_or_control,False
supplemental_2023_09_legacy,s2_reclaim_daily_trend,20,15942,20,1989,,,rule_or_control,False
supplemental_2023_09_legacy,s2_reclaim_daily_trend,40,11667,20,1895,,,rule_or_control,False
supplemental_2023_09_legacy,s2_reclaim_daily_trend,60,9555,20,1880,,,rule_or_control,False
supplemental_2023_09_legacy,s2_reclaim_daily_trend,120,7357,20,1542,,,rule_or_control,False
supplemental_2023_09_legacy,s2_reclaim_daily_trend,240,5630,20,1055,,,rule_or_control,False
supplemental_2023_09_legacy,s2_reclaim_positive_slope,10,32793,20,3043,,,rule_or_control,False
supplemental_2023_09_legacy,s2_reclaim_positive_slope,20,23763,20,3008,,,rule_or_control,False
supplemental_2023_09_legacy,s2_reclaim_positive_slope,40,17429,20,2828,,,rule_or_control,False
supplemental_2023_09_legacy,s2_reclaim_positive_slope,60,13736,20,2467,,,rule_or_control,False
supplemental_2023_09_legacy,s2_reclaim_positive_slope,120,6137,20,1291,,,rule_or_control,False
supplemental_2023_09_legacy,s2_reclaim_positive_slope,240,10263,20,1419,,,rule_or_control,False
supplemental_2023_09_legacy,s2_reclaim_recent_high,10,41964,20,3049,,,rule_or_control,False
supplemental_2023_09_legacy,s2_reclaim_recent_high,20,30525,20,3048,,,rule_or_control,False
supplemental_2023_09_legacy,s2_reclaim_recent_high,40,21124,20,3006,,,rule_or_control,False
supplemental_2023_09_legacy,s2_reclaim_recent_high,60,17956,20,2899,,,rule_or_control,False
supplemental_2023_09_legacy,s2_reclaim_recent_high,120,12832,20,2233,,,rule_or_control,False
supplemental_2023_09_legacy,s2_reclaim_recent_high,240,8362,20,1673,,,rule_or_control,False
supplemental_2023_09_legacy,s4_auction_confirmed_reclaim,10,43294,20,3049,,,rule_or_control,False
supplemental_2023_09_legacy,s4_auction_confirmed_reclaim,20,31704,20,3048,,,rule_or_control,False
supplemental_2023_09_legacy,s4_auction_confirmed_reclaim,40,21228,20,2954,,,rule_or_control,False
