sample_group,selection_ranker,selection_seed,strategy_id,policy_id,equity_row_count,equity_start_date,equity_end_date,minimum_marked_equity,maximum_marked_equity,mean_daily_return,daily_return_std,daily_sharpe,annualized_geometric_return,minimum_daily_return,maximum_daily_return,mean_position_count,invested_day_fraction,maximum_position_count
primary_development_2022_2023_partial,flow_quality,0,s1_break_reclaim_stable3,next_open_5d,342,2022-01-04,2023-06-02,82644.20520050304,109694.56476088823,-0.00027897570378851156,0.01665555757732302,-0.26589335023832444,-0.10008711047317898,-0.07376729363317469,0.04834893625350989,4.89766081871345,0.97953216374269,5
primary_development_2022_2023_partial,flow_quality,0,s1_break_reclaim_stable3,protect_3pct_target6pct_3d,342,2022-01-04,2023-06-02,67357.5040425549,101375.14534355004,-0.0009748278311413985,0.016453434123805826,-0.9405277923979164,-0.24425401867514174,-0.06627393677232862,0.05795136952274449,4.874269005847953,1.0,5
primary_development_2022_2023_partial,flow_quality,0,s1_near_reversal,fast_failure_2pct_target4pct_2d,342,2022-01-04,2023-06-02,62955.519329429175,100934.82360617553,-0.001032725157730673,0.014958771554430967,-1.0959458522752683,-0.2507947798679705,-0.062056934974905054,0.04270627576614561,4.906432748538012,1.0,5
primary_development_2022_2023_partial,flow_quality,0,s1_near_reversal,momentum_trail_4pct_5d,342,2022-01-04,2023-06-02,50752.72802279756,99756.99111158401,-0.001832695581601691,0.014047537380022854,-2.0710491554344173,-0.38573119900384867,-0.05768759098429388,0.03738064133055086,4.853801169590644,0.9766081871345029,5
primary_development_2022_2023_partial,flow_quality,0,s1_near_reversal,next_open_1d,342,2022-01-04,2023-06-02,54545.83985945463,99756.99111158401,-0.0014361695999810416,0.014991748833718321,-1.5207355636247752,-0.3233873665345145,-0.05892537366471273,0.04746249785649481,4.9035087719298245,1.0,5
primary_development_2022_2023_partial,flow_quality,0,s1_near_reversal,next_open_2d,342,2022-01-04,2023-06-02,75954.73114498312,106204.70383927852,-0.0006119297786741258,0.015904278003290986,-0.6107843489172609,-0.1699611757282048,-0.06217697016918511,0.04648751842446086,4.853801169590644,0.9707602339181286,5
primary_development_2022_2023_partial,flow_quality,0,s1_near_reversal,next_open_3d,342,2022-01-04,2023-06-02,70010.10233768227,99756.99111158401,-0.0008057000777576873,0.014607799008818851,-0.8755660051587496,-0.2055689645905805,-0.05612704118971312,0.04484389330581373,4.868421052631579,0.9736842105263158,5
primary_development_2022_2023_partial,flow_quality,0,s1_near_reversal,next_open_5d,342,2022-01-04,2023-06-02,63019.12472498404,99756.99111158401,-0.0005513930012505484,0.01653117237862134,-0.5294901254034867,-0.15937626344097633,-0.07889114415674636,0.05526067608998053,4.89766081871345,0.97953216374269,5
primary_development_2022_2023_partial,flow_quality,0,s1_near_reversal,protect_3pct_target6pct_3d,342,2022-01-04,2023-06-02,65918.87046541423,101410.12766622101,-0.0007408238287317739,0.015146045562317264,-0.7764543985044393,-0.1941443561665559,-0.07080325572738211,0.05131009517581564,4.909356725146199,1.0,5
primary_development_2022_2023_partial,flow_quality,0,s1_touch_immediate,fast_failure_2pct_target4pct_2d,342,2022-01-04,2023-06-02,75912.95865898315,124801.42429705568,-0.00011253144084644562,0.01910667793179681,-0.09349512507142746,-0.07181680558543468,-0.08574918982994073,0.06503443208272164,4.935672514619883,1.0,5
