sample_group,selection_ranker,selection_seed,strategy_id,policy_id,trade_row_count,distinct_signal_count,distinct_symbol_count,total_entry_notional,total_buy_cost,total_sell_cost,total_cost,mean_cost_rate,total_pnl,total_proceeds,mean_pnl,mean_trade_net_return,median_trade_net_return,trade_win_rate,mean_holding_trading_days,max_holding_trading_days,total_exit_attempt_count
primary_development_2022_2023_partial,flow_quality,0,s1_near_reversal,momentum_trail_4pct_5d,583,583,541,8009172.800000001,8665.171002708994,16625.045680125528,25290.216682834503,0.003204292687170039,-48385.444355139385,7969452.526647562,-82.99390112373823,-0.005214157301572003,-0.0053090663161782055,0.45797598627787306,2.8473413379073755,5,583.0
primary_development_2022_2023_partial,flow_quality,0,s1_near_reversal,next_open_1d,1021,1021,871,14517813.600000001,15617.173864214135,30141.73919763602,45758.913061850195,0.0032115544910642467,-37545.16470365305,14495885.60916056,-36.77293310837713,-0.002615451862872068,-0.0038937328007959265,0.4005876591576885,1.0,1,1021.0
primary_development_2022_2023_partial,flow_quality,0,s1_near_reversal,next_open_2d,830,830,721,14172454.1,14445.613025377568,28650.20839981026,43095.821425187925,0.0030461649046802743,-22338.642016765607,14164561.071008617,-26.914026526223623,-0.0012963080483175612,-0.003058893631251187,0.43493975903614457,2.0,2,831.0
primary_development_2022_2023_partial,flow_quality,0,s1_near_reversal,next_open_3d,555,555,515,8791226.1,9096.138975512042,17881.898661970074,26978.03763748214,0.0030771936675915304,-26825.125121548997,8773497.11385396,-48.33355877756576,-0.0025058111825658168,-0.0031343395612092105,0.46126126126126127,3.0,3,555.0
primary_development_2022_2023_partial,flow_quality,0,s1_near_reversal,next_open_5d,335,335,317,5359105.0,5515.032332354625,10866.343091131874,16381.375423486514,0.0030647903383205564,-20991.527331520876,5343628.505000832,-62.661275616480225,-0.0032500531422591317,-0.005419671152015266,0.44776119402985076,5.0,5,335.0
primary_development_2022_2023_partial,flow_quality,0,s1_near_reversal,protect_3pct_target6pct_3d,563,563,514,9211280.3,9582.108246911395,18789.08194238282,28371.19018929419,0.003108692133592043,-26440.648512336375,9194421.759734575,-46.96385170930084,-0.0024637219373511566,-0.003248972801234336,0.4564831261101243,1.8401420959147425,3,566.0
primary_development_2022_2023_partial,flow_quality,0,s1_touch_immediate,fast_failure_2pct_target4pct_2d,781,781,701,13627313.1,13901.078573270697,27558.336687818348,41459.415261089074,0.003049441167861393,-21108.715070252874,13620105.46350303,-27.0278041872636,-0.0015560382511024603,-0.0030162529300137484,0.44558258642765686,1.2253521126760563,2,785.0
primary_development_2022_2023_partial,flow_quality,0,s1_touch_immediate,momentum_trail_4pct_5d,567,567,520,10469713.8,10747.78380325387,21270.155008956794,32017.938812210632,0.003078848008279642,-1226.4148612895315,10479235.168941958,-2.1629891733501436,-0.00014291261754035599,0.0009796739119500703,0.5079365079365079,2.7883597883597884,5,818.0
primary_development_2022_2023_partial,flow_quality,0,s1_touch_immediate,next_open_1d,1049,1049,910,18716380.1,19026.089523349325,37791.31057970248,56817.40010305179,0.0030400522325392475,-23727.395850557234,18711678.793672793,-22.6190618213129,-0.001351669322989405,-0.003016252930013786,0.432793136320305,1.0,1,1051.0
primary_development_2022_2023_partial,flow_quality,0,s1_touch_immediate,next_open_2d,642,642,584,13911566.0,14072.396736190967,28101.95729107047,42174.354027261434,0.003033592961713662,23189.363654868823,13948827.760391051,36.120504135309695,0.0016692145022360503,-0.0002697203865555342,0.49065420560747663,2.0,2,643.0
