sample_group,strategy_id,ma_period,control_id,horizon,matched_date_count,mean_daily_difference,median_daily_difference,std_daily_difference,positive_date_fraction,ttest_p_value,sign_test_p_value,bh_q_value
primary_development_2022_2023_partial,cs_r3_leader_confirmation,120,s0_random_matched,5d,331,-0.0036020889850718334,-0.00339692696924518,0.002409653127477238,0.03323262839879154,3.9965258336638874e-86,5.2385004358078865e-80,2.5069116592982564e-85
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,s0_liquidity_matched,5m,330,0.00022163257987292188,0.00018195738447448286,0.0012295150352369263,0.5575757575757576,0.0011908487138625303,0.041509120768540485,0.002650598750210148
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,s0_liquidity_matched,15m,330,0.00016923328991875976,0.00016254100831673444,0.001794372791507149,0.5575757575757576,0.08808117863955565,0.041509120768540485,0.14644822472600819
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,s0_liquidity_matched,30m,330,0.0002197546609275128,0.00015576076132430054,0.002318868326290461,0.5242424242424243,0.08656649000119454,0.40899949606305985,0.1571865213179585
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,s0_liquidity_matched,60m,330,7.508170497626376e-05,0.0002567392450673495,0.003150666505439936,0.5242424242424243,0.6658467672127423,0.40899949606305985,0.7990161206552908
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,s0_liquidity_matched,1d,330,0.001222879917658257,0.0009002532134245538,0.008299993841837303,0.5818181818181818,0.007905831180735652,0.003465211559330849,0.12122274477127999
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,s0_liquidity_matched,2d,330,0.000671002526259097,0.00021789619005785523,0.010588396656006168,0.5181818181818182,0.2512033988376742,0.5448916292850724,0.48218087556303385
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,s0_liquidity_matched,3d,330,0.0008371161114337479,6.353534846637694e-05,0.013334095159073344,0.5,0.25564498936261204,1.0,0.5112899787252241
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,s0_liquidity_matched,5d,330,0.000639086466936021,9.579887619680568e-05,0.01731420945233884,0.5,0.5036419047245472,1.0,0.7601062379857683
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,s0_random_matched,5m,330,-0.0007772025579610703,-0.0007312918319295728,0.0013533332024930882,0.24545454545454545,3.7904849709796094e-22,5.0771904201515314e-21,1.067524338765686e-21
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,s0_random_matched,15m,330,-0.002118084298228604,-0.0019434558994803116,0.0020233400733644367,0.1,8.300069430989472e-55,2.919280976262056e-54,5.454331340364509e-54
primary_development_2022_2023_partial,cs_r3_leader_confirmation,240,s0_random_matched,30m,330,-0.0031508399485207336,-0.0028914424053731024,0.0024117292433140057,0.06363636363636363,3.999428239220545e-73,7.75625883855172e-67,2.904847879012817e-72
