sample_group,strategy_id,ma_period,horizon,gross_observed_count,gross_mean,gross_median,gross_win_rate,gross_profit_factor,net_observed_count,net_mean,net_median,net_win_rate,net_profit_factor,mean_cost_drag,median_cost_drag,win_rate_change,observed_count_difference
primary_development_2022_2023_partial,fu_r3_core_pullback,20,1d,49142,0.0037797166884526,0.0007872468794438,0.5040901876195515,1.3428187788856392,49142,0.0007520631769026,-0.0022313805862766,0.466464531358105,1.0600016218075623,0.00302765351155,0.0030186274657204,-0.03762565626144648,0
primary_development_2022_2023_partial,fu_r3_core_pullback,20,2d,49127,0.0055015487749824,0.0016005121638922,0.5115516925519572,1.3937554365322664,49127,0.0024687017823564,-0.0014205683156254,0.4817920898894701,1.1599016998587817,0.0030328469926259997,0.0030210804795176,-0.029759602662487117,0
primary_development_2022_2023_partial,fu_r3_core_pullback,20,30m,49235,0.0003728936294951,-0.0008654262224143,0.4158017670356453,1.087122916282354,49235,-0.0026444840420211,-0.0038790688080491,0.3158931654310957,0.5704269114363602,0.0030173776715162,0.0030136425856348,-0.09990860160454962,0
primary_development_2022_2023_partial,fu_r3_core_pullback,20,3d,49108,0.0067326213308816,0.0025310775579735,0.5205261871792783,1.3984919701332383,49108,0.0036960611120519,-0.0004928097421406,0.4950109961717032,1.2017339889879382,0.0030365602188297002,0.0030238873001141,-0.025515191007575155,0
primary_development_2022_2023_partial,fu_r3_core_pullback,20,5d,49110,0.0059626589362216,0.0016611295681063,0.5082467929138669,1.2648299806896353,49110,0.0029284211187208,-0.0013601337488343,0.4898187741804113,1.1222560331194271,0.0030342378175008,0.0030212633169406002,-0.018428018733455565,0
primary_development_2022_2023_partial,fu_r3_core_pullback,20,5m,49237,0.0002236262903463,0.0,0.3965919938257814,1.0957207618215568,49237,-0.0027933011531208,-0.0030162529300139,0.2352905335418486,0.3603169012617643,0.0030169274434671003,0.0030162529300139,-0.16130146028393283,0
primary_development_2022_2023_partial,fu_r3_core_pullback,20,60m,49231,0.0008203151460136,-0.0009823182711199,0.4317198513131969,1.160424747450797,49231,-0.0021984120619627,-0.0039956082807701,0.3502671081229306,0.682023302608398,0.0030187272079763,0.0030132900096502,-0.0814527431902663,0
primary_development_2022_2023_partial,fu_r3_core_pullback,40,15m,36871,0.0005518797058754,0.0,0.4149060237042662,1.1637773025506706,36871,-0.0024660378329181,-0.0030162529300139,0.2935911692115755,0.5331458316012663,0.0030179175387935,0.0030162529300139,-0.1213148544926907,0
primary_development_2022_2023_partial,fu_r3_core_pullback,40,1d,36799,0.0045344686585754,0.0014144271570013,0.5120519579336394,1.4301382517184118,36799,0.0015045386241841,-0.001606092043069,0.4746324628386641,1.1250916349332625,0.0030299300343913,0.0030205192000703,-0.03741949509497533,0
primary_development_2022_2023_partial,fu_r3_core_pullback,40,2d,36788,0.0059307077517103,0.0022441669789161,0.5176144394911384,1.4376028012943236,36788,0.0028965663070633,-0.0007788549263233,0.4906763074915733,1.1931215579247716,0.0030341414446470004,0.0030230219052394,-0.026938131999565074,0
primary_development_2022_2023_partial,fu_r3_core_pullback,40,30m,36870,0.0007260335911873,-0.0003271198048196,0.4251423921887713,1.1743105211068636,36870,-0.0022924092397731,-0.0033423860587637,0.3258475725522105,0.6187200975743806,0.0030184428309604,0.0030152662539441,-0.09929481963656084,0
primary_development_2022_2023_partial,fu_r3_core_pullback,40,3d,36781,0.0070686016985542,0.0031847133757962,0.5251080721024441,1.4287250814700976,36781,0.004031028077956,0.0001588545447315,0.5016448709931758,1.22521367366671,0.0030375736205981996,0.0030258588310647003,-0.02346320110926836,0
primary_development_2022_2023_partial,fu_r3_core_pullback,40,5d,36769,0.0072022622647021,0.0032362459546926,0.5202480350295086,1.3350707046819024,36769,0.0041642854900296,0.0002102316883354,0.5021893442845876,1.1818618383416073,0.0030379767746725,0.0030260142663572002,-0.018058690744920947,0
primary_development_2022_2023_partial,fu_r3_core_pullback,40,5m,36871,0.0003887649929159,0.0,0.3995009628163055,1.1670853425166012,36871,-0.0026286605506468,-0.0030162529300139,0.2414906023704266,0.3949753637980818,0.0030174255435627,0.0030162529300139,-0.15801036044587888,0
primary_development_2022_2023_partial,fu_r3_core_pullback,40,60m,36867,0.0011826053028206,-0.0003401360544218,0.4405023462717335,1.2363903431690542,36867,-0.0018372146639029,-0.0033553630480649,0.3607833563891827,0.7288014096424705,0.0030198199667235,0.0030152269936431,-0.07971898988255083,0
primary_development_2022_2023_partial,fu_r3_core_pullback,60,15m,30428,0.0005318255598178,0.0,0.4090311555146576,1.1554627516096825,30428,-0.002486031490599,-0.003016252930014,0.2895030892598922,0.5350685822144778,0.0030178570504167997,0.003016252930014,-0.11952806625476536,0
primary_development_2022_2023_partial,fu_r3_core_pullback,60,1d,30374,0.0046598458045091,0.0015974440894569,0.5141239217752025,1.4471133565458738,30374,0.001629537600934,-0.0014236271359721,0.4769868966879568,1.136942334369735,0.0030303082035751,0.003021071225429,-0.0371370250872457,0
primary_development_2022_2023_partial,fu_r3_core_pullback,60,2d,30368,0.006489500818992,0.0026411772521924,0.5236762381454162,1.4887743344677962,30368,0.0034536739131185,-0.000383042136447,0.4955874604847207,1.2348219537796867,0.0030358269058734996,0.0030242193886394,-0.028088777660695508,0
primary_development_2022_2023_partial,fu_r3_core_pullback,60,30m,30426,0.0007705260447399,-0.0006058837349307,0.4215473608098337,1.182223583044654,30426,-0.002248050986714,-0.0036203091663539,0.3246565437454808,0.6302093642638362,0.0030185770314539,0.0030144254314232004,-0.09689081706435287,0
primary_development_2022_2023_partial,fu_r3_core_pullback,60,3d,30355,0.0072539603617331,0.0036101083032491,0.5305550980069181,1.4449780597191786,30355,0.004215827652524,0.0005829663734879,0.5065063416241147,1.2382116462994142,0.0030381327092091,0.0030271419297612,-0.02404875638280346,0
primary_development_2022_2023_partial,fu_r3_core_pullback,60,5d,30339,0.0078106534764682,0.003676470588235,0.5236494281288111,1.3711386978685896,30339,0.0047708416400207,0.0006491284930374,0.5057187118889878,1.2126088528918295,0.0030398118364474997,0.0030273420951976,-0.01793071623982334,0
primary_development_2022_2023_partial,fu_r3_core_pullback,60,5m,30428,0.0003520782963192,0.0,0.3951952149336137,1.146687059195602,30428,-0.0026652365908874,-0.0030162529300139,0.2396148284474825,0.3975662489809647,0.0030173148872066,0.0030162529300139,-0.1555803864861312,0
primary_development_2022_2023_partial,fu_r3_core_pullback,60,60m,30424,0.0012594754926162,-0.0005099440387776,0.4373192216671049,1.2490493270844614,30424,-0.0017605763340425,-0.0035246588485904,0.3597817512490139,0.7424133760396409,0.0030200518266587,0.0030147148098128,-0.077537470418091,0
primary_development_2022_2023_partial,fu_r3_core_pullback,120,15m,21678,0.0005838191470576,0.0,0.4101393117446258,1.1665686500437464,21678,-0.0024341947291691,-0.0030162529300139,0.2972137651074822,0.5506235637382242,0.0030180138762266997,0.0030162529300139,-0.1129255466371436,0
