sample_group,metric,horizon,strategy_id,ma_period,observed_count,positive_count,mean_exact,min_exact,max_exact,q01,q05,q25,q50,q75,q95,q99,positive_q99,tail_estimate_method
primary_development_2022_2023_partial,gross_return,3d,s2_reclaim_positive_slope,60,208092,101948,0.0009119998164160278,-0.34794156706507307,0.5199362041467304,-0.1309574886209461,-0.07688748798429343,-0.026910301328268098,-0.00017964013209284996,0.024954917988416023,0.08431540781350605,0.16431330693985116,0.20944409045079937,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,gross_return,5d,s2_reclaim_positive_slope,60,207996,100626,0.0007409662753041725,-0.4422174840085288,0.838915470494418,-0.16232852538036394,-0.09855972395818932,-0.036677028000549616,-0.0012939835017796253,0.032641081730991645,0.10799483827277485,0.20924843892047196,0.2639575243597633,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,net_return,5m,s2_reclaim_recent_high,60,236260,36503,-0.0031284044701148754,-0.0768669008611238,0.1169708501090434,-0.015719869313981928,-0.009814320480320307,-0.005453321830057055,-0.0030164108149558166,-0.0014325496690069548,0.004443362884008703,0.0154662528791885,0.040480261178628345,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,net_return,15m,s2_reclaim_recent_high,60,236250,52174,-0.0031137976769980507,-0.1219225713879023,0.13155973092645223,-0.02226462432966241,-0.013426022654467608,-0.006683994708388371,-0.0035406229321965316,-0.0005510003867311631,0.009073550030997246,0.025865377066052412,0.051868768327552994,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,net_return,30m,s2_reclaim_recent_high,60,236227,63915,-0.003012063617227441,-0.12145144515735329,0.14672084976680932,-0.027571947115617838,-0.016746591218269016,-0.00785817093918346,-0.003717564622768301,0.00045768324024740445,0.013376554028911782,0.03471145967512416,0.0607340574651672,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,net_return,60m,s2_reclaim_recent_high,60,236188,74714,-0.0030212128735652125,-0.13916821838891058,0.15422035189384897,-0.03643364817291039,-0.02177451104263873,-0.009779545554652228,-0.004122734183762397,0.0020347882782497696,0.019518422423035798,0.046741462038412056,0.07355424310465349,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,net_return,1d,s2_reclaim_recent_high,60,235869,100865,-0.0024983149183512195,-0.19937974514716073,0.24024778135506297,-0.08250339555305354,-0.04893795917072266,-0.018979107467772392,-0.003902054247940955,0.011573372385582979,0.04978274420738552,0.09883013957625726,0.11672124022028799,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,net_return,2d,s2_reclaim_recent_high,60,235808,104865,-0.0024434875075078607,-0.2683916581330137,0.36387376599174126,-0.1077826137933075,-0.06489744507167924,-0.025021884064514395,-0.004127797252857632,0.01673934946037189,0.0678360402544421,0.1309887524167356,0.17221025965833403,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,net_return,3d,s2_reclaim_recent_high,60,235754,106024,-0.0025250789007464193,-0.31698351029459515,0.48922493880516726,-0.12873598167109365,-0.07798638153937597,-0.030156351516083698,-0.004665260311601563,0.020925234674106664,0.08122879446143914,0.15996677719951757,0.20702513510102463,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,net_return,5d,s2_reclaim_recent_high,60,235645,107387,-0.002906121689885341,-0.43063250463538705,0.8017590287957586,-0.16133079725016192,-0.09906214351736764,-0.03933803885359028,-0.005475191053055931,0.028059453435175654,0.10372348038650628,0.20031558102575536,0.25795225573325387,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,gross_return,5m,s2_reclaim_recent_high,60,236260,83493,-0.00011249084092823203,-0.07407407407407407,0.12035010940919033,-0.012742049628494404,-0.006818634275919909,-0.00244444195525301,-1.6848979620495328e-07,0.0015884692246082494,0.007482183973355063,0.0185384223800239,0.030698543184268554,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,gross_return,15m,s2_reclaim_recent_high,60,236250,89812,-9.783985673792307e-05,-0.11926605504587162,0.1349831271091113,-0.019306605003559185,-0.010441263215219746,-0.0036788380845260526,-0.000525956419774912,0.002472710864673304,0.0121263791877666,0.028969007850876027,0.044402771491251984,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,gross_return,30m,s2_reclaim_recent_high,60,236227,95505,4.201987042778082e-06,-0.1187935034802785,0.15019011406844118,-0.02462998444836257,-0.013771877754885156,-0.004856566642534997,-0.0007036393455671879,0.0034844461411439277,0.016442401400325768,0.03784185320574695,0.055381909094436285,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,gross_return,60m,s2_reclaim_recent_high,60,236188,98271,-4.974949256178672e-06,-0.13656387665198233,0.15771230502599654,-0.03351849550316765,-0.018815008938463787,-0.006783754142948578,-0.0011098287780521821,0.005066322518404129,0.022602851269417627,0.049908250876363594,0.07029743233249537,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,gross_return,1d,s2_reclaim_recent_high,60,235869,111197,0.0005195049700508446,-0.19695756605284231,0.244,-0.07972762129437187,-0.04606063677132866,-0.01601114821046129,-0.0008884812019557965,0.014633764450497778,0.05295873407422052,0.10215451636557284,0.11742241835626789,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,gross_return,2d,s2_reclaim_recent_high,60,235808,112414,0.0005744982545497112,-0.2661782661782661,0.3680000000000001,-0.1050833187313126,-0.06206840615358758,-0.022072206492003945,-0.001114907164846474,0.0198153705598963,0.07106664817022558,0.13441042117343838,0.17152089379630203,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,gross_return,3d,s2_reclaim_recent_high,60,235754,112153,0.0004926600164856449,-0.3149171270718233,0.49373040752351094,-0.12610007847224672,-0.07519694160480567,-0.0272222076496546,-0.00165399625263097,0.024013919659655037,0.08449992052432034,0.1634761154417197,0.2074630468359079,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,gross_return,5d,s2_reclaim_recent_high,60,235645,111994,0.00011046442878550965,-0.428909952606635,0.8072100313479624,-0.15879350569697384,-0.09633646573439243,-0.03643167306420161,-0.0024663773409232016,0.031169722130894514,0.10706266138261053,0.20394698966090158,0.2583075836882851,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,net_return,5m,s4_auction_confirmed_reclaim,60,244713,43031,-0.0028680227583854126,-0.07843819124263685,0.09786120899428163,-0.01767286103643167,-0.010402480355745194,-0.005327318529020102,-0.0030162529300138408,-0.0011405154373492767,0.005654291046724547,0.018904726844994148,0.04437404572299612,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,net_return,15m,s4_auction_confirmed_reclaim,60,244709,58418,-0.0027908983624610442,-0.10154170558163611,0.14876518922674276,-0.0242950686467031,-0.014075155326404227,-0.00643897095488945,-0.0030162529300139184,-0.00020304209486808012,0.010275827069442196,0.029757040596503765,0.056039256903652225,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,net_return,30m,s4_auction_confirmed_reclaim,60,244699,68778,-0.002716647177922183,-0.10992685048815698,0.14876518922674276,-0.02911640793450283,-0.01713954528163217,-0.007497283126660144,-0.003016660886604507,0.000651999420373158,0.01427786523376208,0.03825488452241865,0.06358874711048089,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,net_return,60m,s4_auction_confirmed_reclaim,60,244653,80025,-0.0026310587444962493,-0.1336917118789177,0.14567049113850827,-0.03617080339070601,-0.021436646326511318,-0.0091993541385903,-0.00321667392330894,0.0021819614083973264,0.019708926861570178,0.048579910034535316,0.07384124582503226,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,net_return,1d,s4_auction_confirmed_reclaim,60,244358,106097,-0.0019345927824341827,-0.22197477932108123,0.23330582044953818,-0.07996051424987881,-0.04703278565691068,-0.017568365787370747,-0.003070615228725116,0.011335195787456915,0.048740856999462054,0.09891712021407752,0.11900856876741228,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,net_return,2d,s4_auction_confirmed_reclaim,60,244305,109685,-0.002082312962322365,-0.2683916581330137,0.35382174764818064,-0.10314234841601522,-0.06274675404902809,-0.023371217103902508,-0.003470113941528846,0.016000291660946082,0.06450912461387517,0.12849809815339358,0.16908228819251497,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,net_return,3d,s4_auction_confirmed_reclaim,60,244230,110789,-0.00228928990046225,-0.3369812519485311,0.4785607266926142,-0.12501082004010122,-0.07465302505082126,-0.028188753014329777,-0.003933455514412175,0.019588460213416002,0.076839776793431,0.15376062991511477,0.2003602469621397,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,net_return,5d,s4_auction_confirmed_reclaim,60,244197,111115,-0.0029032462959232962,-0.36544633489627687,0.773954105511873,-0.15527083521808419,-0.09411317760437554,-0.037350465308952606,-0.005133280923629355,0.026141076802745248,0.09706972300137645,0.19178606692836753,0.24989625672250143,duckdb_approx_quantile_per_ma_period
primary_development_2022_2023_partial,gross_return,5m,s4_auction_confirmed_reclaim,60,244713,91519,0.00014867862396515644,-0.07565011820330969,0.10118265440210261,-0.014700949889596342,-0.007408573557431177,-0.002318057446571451,0.0,0.0018816903431877665,0.008696775651779707,0.02198729903013071,0.034281773960354006,duckdb_approx_quantile_per_ma_period
