sample_group,sample_variant,selection_ranker,strategy_id,policy_id,seed_count,resolved_seed_count,positive_seed_count,positive_seed_fraction,resolved_positive_seed_count,resolved_positive_seed_fraction,all_periods_positive_seed_count,resolved_all_periods_positive_seed_count,combined_net_return_mean,combined_net_return_median,combined_net_return_standard_deviation,combined_net_return_minimum,combined_net_return_q25,combined_net_return_q75,combined_net_return_maximum,maximum_drawdown_mean,maximum_drawdown_median,maximum_drawdown_standard_deviation,maximum_drawdown_minimum,maximum_drawdown_q25,maximum_drawdown_q75,maximum_drawdown_maximum
primary_development_2022_2023_partial,current_contract,flow_quality,fu_r3_core_pullback,momentum_trail_4pct_5d,5,2,3,0.6,1,0.5,2,0,0.06980781515511117,0.10817461471190182,0.21336167635147768,-0.24243184610745627,-0.0681945287042065,0.16442343467815124,0.38706740119716554,-0.24361656906279916,-0.22836948920959987,0.04525152563941118,-0.31199094478315115,-0.2747733786593154,-0.221578274227621,-0.1813707584343084
primary_development_2022_2023_partial,current_contract,trend_structure,s1_touch_reclaim,next_open_3d,5,1,4,0.8,0,0.0,0,0,0.10181053351627241,0.08866342943134731,0.12777794198255943,-0.09428637812252116,0.039674269922395755,0.2034079765103649,0.2715933698397752,-0.34936135831015386,-0.35009955950125116,0.03507796858078509,-0.39425012248747693,-0.3819481698414552,-0.31309837335466406,-0.3074105663659219
primary_development_2022_2023_partial,current_contract,trend_structure,s2_reclaim_daily_trend,next_open_3d,5,1,3,0.6,1,1.0,1,1,0.039532847852904965,0.0862025684962715,0.08988124296491128,-0.08277168859420414,-0.05172813362690731,0.10060825883685154,0.14535323415251322,-0.30402817746315886,-0.3248260856839418,0.06444381855800986,-0.38880223724735696,-0.3364543613183828,-0.2708943506971475,-0.19916385236896517
primary_development_2022_2023_partial,current_contract,sector_leader,fu_r3_core_pullback,momentum_trail_4pct_5d,5,0,5,1.0,0,,0,0,0.08592744975195576,0.08592744975195576,0.0,0.08592744975195576,0.08592744975195576,0.08592744975195576,0.08592744975195576,-0.27760324529528224,-0.27760324529528224,0.0,-0.27760324529528224,-0.27760324529528224,-0.27760324529528224,-0.27760324529528224
primary_development_2022_2023_partial,current_contract,flow_quality,fu_r3_core_pullback,protect_3pct_target6pct_3d,5,2,3,0.6,0,0.0,1,0,0.0182434845600556,0.07589469295141926,0.1765408600665516,-0.2056058684241644,-0.1755435441782327,0.19308307751278897,0.20338906493846687,-0.29084419113669757,-0.29457427317781393,0.061686790341601044,-0.37471047548569447,-0.31139218906996124,-0.2901995831487628,-0.1833444348012554
primary_development_2022_2023_partial,current_contract,random_hash,fu_r3_core_pullback,next_open_3d,5,3,4,0.8,2,0.6666666666666666,3,1,0.17533030239185604,0.07287567877251577,0.20653252356595936,-0.04699653538400894,0.02444356972993389,0.3197424473854551,0.5065863514553843,-0.20275086243562815,-0.2131611624910713,0.020425883144203533,-0.22391729821512119,-0.22043418170108187,-0.17948371157846676,-0.17675795819239948
primary_development_2022_2023_partial,current_contract,sector_leader,s2_reclaim_daily_trend,next_open_2d,5,0,5,1.0,0,,0,0,0.07231485779964819,0.07231485779964819,0.0,0.07231485779964819,0.07231485779964819,0.07231485779964819,0.07231485779964819,-0.2883990675989666,-0.2883990675989666,0.0,-0.2883990675989666,-0.2883990675989666,-0.2883990675989666,-0.2883990675989666
primary_development_2022_2023_partial,current_contract,trend_structure,s4_reclaim_volume_proxy,next_open_1d,5,0,3,0.6,0,,0,0,-0.07563538678255484,0.06572094143661156,0.20070938975753183,-0.39913969291113394,-0.222601094720572,0.06625187677692135,0.11159103550539884,-0.3472315530187048,-0.33279423853643175,0.0533368726696902,-0.4505914509195409,-0.33899278329495597,-0.3090792996429357,-0.30469999269965975
primary_development_2022_2023_partial,current_contract,sector_leader,ng_r1_auction_reclaim,protect_3pct_target6pct_3d,5,0,5,1.0,0,,0,0,0.04088635782595462,0.04088635782595462,0.0,0.04088635782595462,0.04088635782595462,0.04088635782595462,0.04088635782595462,-0.24983332671138783,-0.2498333267113878,2.7755575615628914e-17,-0.2498333267113878,-0.2498333267113878,-0.2498333267113878,-0.2498333267113878
primary_development_2022_2023_partial,current_contract,random_hash,fu_r3_core_pullback,next_open_2d,5,2,3,0.6,1,0.5,1,0,-0.019023683345182764,0.03916865585288165,0.14709526373308518,-0.20481017086395137,-0.17216347004768617,0.060414841015747234,0.18227172731709484,-0.2739288938429175,-0.265616791087934,0.0391176286206204,-0.32212585442649666,-0.3154134979279668,-0.24390810307366373,-0.2225802226985265
