sample_group,strategy_id,ma_period,horizon,date_count,mean_daily_return,median_daily_return,std_daily_return,positive_date_count,positive_date_fraction,ttest_p_value,sign_test_p_value,bh_q_value
primary_development_2022_2023_partial,ht_r3_core_pullback,40,1d,331,-0.004130799057852473,-0.002207177352757008,0.01696232636076476,145,0.4380664652567976,1.3182546714643124e-05,0.027755090478306058,0.00010985455595535938
primary_development_2022_2023_partial,ht_r3_core_pullback,40,2d,331,-0.004678382831242218,-0.0025784564897882224,0.0218875240310472,149,0.4501510574018127,0.00012469004208439646,0.07844038321120742,0.0031172510521099116
primary_development_2022_2023_partial,ht_r3_core_pullback,40,3d,331,-0.00438924599233805,-0.0018967609581524369,0.026563849320238028,153,0.4622356495468278,0.0028902257003178937,0.18703395961266983,0.039324817972151385
primary_development_2022_2023_partial,ht_r3_core_pullback,40,5d,331,-0.004312762068208266,0.00033055750932541305,0.034509588087472017,166,0.5015105740181269,0.023837120153135403,1.0,0.1589022707688458
primary_development_2022_2023_partial,ht_r3_core_pullback,60,5m,331,-0.0030999224153838638,-0.003018615683654803,0.00099259712345266,1,0.0030211480362537764,2.8735540491431053e-172,1.5178872556228612e-97,3.8485098872452305e-172
primary_development_2022_2023_partial,ht_r3_core_pullback,60,15m,331,-0.003186328887884062,-0.0030445606894100234,0.0018652819767763637,5,0.015105740181268883,7.069899071569897e-100,1.491249912889426e-89,9.384821776420216e-100
primary_development_2022_2023_partial,ht_r3_core_pullback,60,30m,331,-0.003203725489349875,-0.002992082488524821,0.0026839001805500523,23,0.06948640483383686,1.9188708616620673e-65,7.895369112365708e-65,2.5471737101708857e-65
primary_development_2022_2023_partial,ht_r3_core_pullback,60,60m,331,-0.0034561209529279193,-0.0031796670476173135,0.004206569624296907,51,0.1540785498489426,7.484301509754498e-39,2.0047610277350594e-39,1.059099270248278e-38
primary_development_2022_2023_partial,ht_r3_core_pullback,60,1d,331,-0.003926059747198257,-0.002129650220685273,0.017321573031145034,142,0.42900302114803623,4.8465215976130905e-05,0.011346439750195308,0.00025963508558641554
primary_development_2022_2023_partial,ht_r3_core_pullback,60,2d,331,-0.004424290107732022,-0.0018793892148668131,0.02211612144945904,149,0.4501510574018127,0.0003234593540460304,0.07844038321120742,0.004851890310690456
primary_development_2022_2023_partial,ht_r3_core_pullback,60,3d,331,-0.004169718053100315,-0.0012151104005161657,0.027014097059896033,156,0.47129909365558914,0.005346614531403366,0.3224854616925212,0.039324817972151385
primary_development_2022_2023_partial,ht_r3_core_pullback,60,5d,331,-0.004233755787132124,0.0006493038140080731,0.03518019674217086,169,0.5105740181268882,0.029505104545838497,0.7416149670525334,0.1589022707688458
