selection_ranker,selection_seed,strategy_id,policy_id,net_return_primary,maximum_drawdown_primary,fully_resolved_primary,net_return_supplemental,maximum_drawdown_supplemental,fully_resolved_supplemental,same_return_sign,return_difference_primary_minus_supplemental
flow_quality,0,s2_reclaim_daily_trend,protect_3pct_target6pct_3d,-0.5003208171,-0.5100418709,False,-0.0602175925,-0.0607512807,True,True,-0.44010322459999995
flow_quality,0,s2_reclaim_positive_slope,fast_failure_2pct_target4pct_2d,-0.2618032206,-0.2848969459,False,-0.0320730132,-0.0566493881,True,True,-0.2297302074
flow_quality,0,s2_reclaim_positive_slope,momentum_trail_4pct_5d,-0.2733038343,-0.318679781,True,-0.0425868126,-0.0834430442,True,True,-0.2307170217
flow_quality,0,s2_reclaim_positive_slope,next_open_1d,-0.223769389,-0.369350988,False,-0.0413771234,-0.0835017576,True,True,-0.18239226560000002
flow_quality,0,s2_reclaim_positive_slope,next_open_2d,-0.2602661207,-0.3592295013,True,-0.018640384,-0.0660704968,True,True,-0.24162573669999998
flow_quality,0,s2_reclaim_positive_slope,next_open_3d,-0.1461895618,-0.3613367291,False,0.0004035047,-0.0340212398,True,False,-0.1465930665
flow_quality,0,s2_reclaim_positive_slope,next_open_5d,-0.1493431589,-0.3473089358,False,0.0107714336,-0.0303463088,True,False,-0.16011459249999999
flow_quality,0,s2_reclaim_positive_slope,protect_3pct_target6pct_3d,-0.3442417373,-0.3720173723,False,-0.0176956907,-0.0531349455,True,True,-0.32654604660000003
flow_quality,0,s2_reclaim_recent_high,fast_failure_2pct_target4pct_2d,-0.6948657339,-0.7167707979,False,-0.1059824927,-0.1310587592,True,True,-0.5888832411999999
flow_quality,0,s2_reclaim_recent_high,momentum_trail_4pct_5d,-0.5375642671,-0.5422347888,False,-0.0399938231,-0.0758622949,True,True,-0.49757044400000006
flow_quality,0,s2_reclaim_recent_high,next_open_1d,-0.7800383433,-0.7914321688,False,-0.067590346,-0.1344835434,True,True,-0.7124479973
flow_quality,0,s2_reclaim_recent_high,next_open_2d,-0.5306061439,-0.579466952,False,-0.0713663354,-0.0981202056,True,True,-0.45923980850000007
flow_quality,0,s2_reclaim_recent_high,next_open_3d,-0.5296513621,-0.5488806,False,0.0108479496,-0.0293957009,True,False,-0.5404993117
flow_quality,0,s2_reclaim_recent_high,next_open_5d,-0.4460693094,-0.4515613952,True,0.0021493664,-0.0479781062,True,False,-0.4482186758
flow_quality,0,s2_reclaim_recent_high,protect_3pct_target6pct_3d,-0.719152995,-0.7274984087,False,-0.0651311506,-0.1011352557,True,True,-0.6540218444
flow_quality,0,s4_auction_confirmed_reclaim,fast_failure_2pct_target4pct_2d,-0.1720325992,-0.477041252,False,-0.0536929719,-0.0833488917,True,True,-0.1183396273
flow_quality,0,s4_auction_confirmed_reclaim,momentum_trail_4pct_5d,-0.1356400042,-0.3777859755,False,-0.0750771531,-0.0961602807,True,True,-0.060562851099999995
flow_quality,0,s4_auction_confirmed_reclaim,next_open_1d,-0.1844106585,-0.3707013208,False,-0.0611449392,-0.0894926011,True,True,-0.12326571929999999
flow_quality,0,s4_auction_confirmed_reclaim,next_open_2d,0.1308798863,-0.2667021753,False,-0.0339697855,-0.0666899488,True,False,0.16484967179999999
flow_quality,0,s4_auction_confirmed_reclaim,next_open_3d,-0.0591388078,-0.2060994811,False,-0.0324498096,-0.0597408564,True,True,-0.0266889982
flow_quality,0,s4_auction_confirmed_reclaim,next_open_5d,-0.0838902775,-0.3159204175,True,0.012372903,-0.0397287998,True,False,-0.0962631805
flow_quality,0,s4_auction_confirmed_reclaim,protect_3pct_target6pct_3d,-0.2380497407,-0.3837448279,False,-0.0352382263,-0.058567068,True,True,-0.2028115144
flow_quality,0,s4_reclaim_amount_acceleration,fast_failure_2pct_target4pct_2d,-0.157868226,-0.2659861556,False,-0.0031497611,-0.0296234191,True,True,-0.1547184649
flow_quality,0,s4_reclaim_amount_acceleration,momentum_trail_4pct_5d,0.1361957165,-0.1846120589,True,-0.0230257067,-0.0372912199,True,False,0.15922142320000002
flow_quality,0,s4_reclaim_amount_acceleration,next_open_1d,-0.103723188,-0.3215173974,False,-0.0442024583,-0.0484877374,True,True,-0.0595207297
flow_quality,0,s4_reclaim_amount_acceleration,next_open_2d,-0.0112044069,-0.2738435506,False,0.0119636795,-0.0289670627,True,False,-0.0231680864
flow_quality,0,s4_reclaim_amount_acceleration,next_open_3d,0.2721169132,-0.2366654019,True,-0.043523287,-0.0715290692,True,False,0.3156402002
flow_quality,0,s4_reclaim_amount_acceleration,next_open_5d,0.1150812929,-0.1682095715,True,-0.0080490101,-0.0462038319,True,False,0.12313030300000001
flow_quality,0,s4_reclaim_amount_acceleration,protect_3pct_target6pct_3d,-0.036683232,-0.199891314,True,-0.0127842571,-0.0316803297,True,True,-0.0238989749
flow_quality,0,s4_reclaim_volume_normal,fast_failure_2pct_target4pct_2d,-0.4213792803,-0.4455493904,True,-0.0361360313,-0.0709364083,True,True,-0.385243249
flow_quality,0,s4_reclaim_volume_normal,momentum_trail_4pct_5d,-0.0386254653,-0.2814697715,True,-0.0541211326,-0.0839008625,True,True,0.015495667300000002
flow_quality,0,s4_reclaim_volume_normal,next_open_1d,-0.5485844007,-0.565209791,False,-0.0459850784,-0.0703381029,True,True,-0.5025993223
flow_quality,0,s4_reclaim_volume_normal,next_open_2d,-0.2144357376,-0.2893604687,False,-0.0218869612,-0.0471391476,True,True,-0.1925487764
flow_quality,0,s4_reclaim_volume_normal,next_open_3d,-0.086245157,-0.2503347942,True,-0.0132333155,-0.0414691852,True,True,-0.07301184150000001
flow_quality,0,s4_reclaim_volume_normal,next_open_5d,0.0682074666,-0.2924496366,False,-0.057960277,-0.0849889585,True,False,0.1261677436
flow_quality,0,s4_reclaim_volume_normal,protect_3pct_target6pct_3d,-0.2356292601,-0.2909883914,True,-0.0255329329,-0.0559224662,True,True,-0.2100963272
flow_quality,0,s4_reclaim_volume_proxy,fast_failure_2pct_target4pct_2d,-0.5477118211,-0.5664083915,False,-0.0844193077,-0.0828942027,True,True,-0.46329251340000005
flow_quality,0,s4_reclaim_volume_proxy,momentum_trail_4pct_5d,-0.2642031343,-0.3532285329,False,-0.0639439504,-0.068921686,True,True,-0.20025918389999997
flow_quality,0,s4_reclaim_volume_proxy,next_open_1d,-0.3348619356,-0.3642082997,False,-0.0766892109,-0.0848935323,False,True,-0.25817272469999997
flow_quality,0,s4_reclaim_volume_proxy,next_open_2d,-0.3489439282,-0.4514403673,True,-0.028532004,-0.05246936,True,True,-0.3204119242
flow_quality,0,s4_reclaim_volume_proxy,next_open_3d,-0.2707156505,-0.3715949835,False,-0.034681613,-0.0508374361,True,True,-0.23603403750000002
flow_quality,0,s4_reclaim_volume_proxy,next_open_5d,-0.0212921515,-0.2759127791,False,-0.0715479561,-0.0743191631,True,True,0.05025580460000001
flow_quality,0,s4_reclaim_volume_proxy,protect_3pct_target6pct_3d,-0.3158759565,-0.3811607467,False,-0.0937455793,-0.0968726475,True,True,-0.2221303772
