sample_group,sample_variant,selection_ranker,strategy_id,policy_id,signal_year,observed_seed_count,positive_seed_count,positive_seed_fraction,net_return_mean,net_return_median,net_return_standard_deviation,net_return_minimum,net_return_q25,net_return_q75,net_return_maximum
primary_development_2022_2023_partial,current_contract,sector_leader,ht_r3_core_pullback,next_open_5d,2023,5,5,1.0,0.2683246510173454,0.2683246510173454,0.0,0.2683246510173454,0.2683246510173454,0.2683246510173454,0.2683246510173454
primary_development_2022_2023_partial,current_contract,flow_quality,ng_r3_volume_quality,next_open_3d,2022,5,1,0.2,-0.07678496064134561,-0.027625446458405478,0.11989230836479212,-0.28377701397563815,-0.12304389511739411,-0.017411851028119485,0.06793340337282916
primary_development_2022_2023_partial,current_contract,flow_quality,ng_r3_volume_quality,next_open_3d,2023,5,3,0.6,0.06374394585061247,0.03510624334986168,0.11390011697040942,-0.023967732877799963,-0.016665087801543188,0.03857118642447355,0.2856751201580703
primary_development_2022_2023_partial,current_contract,trend_structure,s1_touch_reclaim,next_open_5d,2022,5,4,0.8,0.06397226688866249,0.041109706361135645,0.08213200461600971,-0.045616433937925804,0.03080045041351709,0.09030336881220924,0.20326424279437627
primary_development_2022_2023_partial,current_contract,trend_structure,s1_touch_reclaim,next_open_5d,2023,5,1,0.2,-0.029314698694033536,-0.007432383224846739,0.061352338954362005,-0.14837900817981475,-0.012543775303940685,-0.007153108919789042,0.028934782158223538
primary_development_2022_2023_partial,current_contract,trend_structure,s4_reclaim_amount_acceleration,next_open_5d,2022,5,1,0.2,-0.05103076428011173,-0.02805118673770346,0.11092213910221638,-0.2393049977919487,-0.08189210069427377,-0.004684518335607346,0.09877898215897463
primary_development_2022_2023_partial,current_contract,trend_structure,s4_reclaim_amount_acceleration,next_open_5d,2023,5,3,0.6,0.01483334978237738,0.05550184453524665,0.09772060015548786,-0.16570686503244503,-0.004784012122469483,0.08053050094621961,0.10862528058533516
primary_development_2022_2023_partial,current_contract,sector_leader,ng_r3_volume_quality,next_open_2d,2022,5,0,0.0,-0.1276073079147383,-0.1276073079147383,0.0,-0.1276073079147383,-0.1276073079147383,-0.1276073079147383,-0.1276073079147383
primary_development_2022_2023_partial,current_contract,sector_leader,ng_r3_volume_quality,next_open_2d,2023,5,5,1.0,0.16567783620210697,0.16567783620210697,0.0,0.16567783620210697,0.16567783620210697,0.16567783620210697,0.16567783620210697
primary_development_2022_2023_partial,current_contract,flow_quality,s4_reclaim_amount_acceleration,next_open_3d,2022,5,0,0.0,-0.07998151902711541,-0.08345459632205532,0.06835609145964792,-0.19625446636813826,-0.09809794971406793,-0.011253138928257078,-0.010847443803058465
primary_development_2022_2023_partial,current_contract,flow_quality,s4_reclaim_amount_acceleration,next_open_3d,2023,5,4,0.8,0.18827009908800024,0.19211662804302865,0.1673759717856639,-0.006234429955910725,0.02452085455638131,0.28606745764041697,0.44487998515608496
primary_development_2022_2023_partial,current_contract,random_hash,s4_reclaim_amount_acceleration,next_open_3d,2022,5,0,0.0,-0.07998151902711541,-0.08345459632205532,0.06835609145964792,-0.19625446636813826,-0.09809794971406793,-0.011253138928257078,-0.010847443803058465
primary_development_2022_2023_partial,current_contract,random_hash,s4_reclaim_amount_acceleration,next_open_3d,2023,5,4,0.8,0.18827009908800024,0.19211662804302865,0.1673759717856639,-0.006234429955910725,0.02452085455638131,0.28606745764041697,0.44487998515608496
primary_development_2022_2023_partial,current_contract,trend_structure,s2_reclaim_positive_slope,next_open_3d,2022,5,3,0.6,0.1500824074186578,0.1901701130940181,0.20432404887010272,-0.08115980815483625,-0.07289310446136654,0.2617752998543852,0.4525195367610886
primary_development_2022_2023_partial,current_contract,trend_structure,s2_reclaim_positive_slope,next_open_3d,2023,5,2,0.4,-0.08039605346492287,-0.15011935028217838,0.11196175487795362,-0.19194770137419304,-0.16596997602879493,0.01806404623579594,0.08799271412475607
primary_development_2022_2023_partial,current_contract,trend_structure,s4_reclaim_vwap_support,next_open_3d,2022,5,2,0.4,-0.08297530066787917,-0.08761629514145342,0.09998271421664061,-0.21310954863810594,-0.17203500774047065,0.024274163283071193,0.033610184897562956
primary_development_2022_2023_partial,current_contract,trend_structure,s4_reclaim_vwap_support,next_open_3d,2023,5,5,1.0,0.08379131880824815,0.09576166495006189,0.051670356387400515,0.017847958860418123,0.036681194028043373,0.10668285710667491,0.16198291909604245
primary_development_2022_2023_partial,current_contract,flow_quality,ng_r1_auction_reclaim,next_open_3d,2022,5,2,0.4,-0.016077631539818626,-0.014581696133413646,0.06864772002294321,-0.09624432807108463,-0.08760864807222346,0.03983163236535847,0.07821488221227013
primary_development_2022_2023_partial,current_contract,flow_quality,ng_r1_auction_reclaim,next_open_3d,2023,5,3,0.6,0.0021347674269025065,0.035314577534308,0.07036806062392426,-0.11899501770423271,-0.03010589470235936,0.04322166404063843,0.08123850796615817
primary_development_2022_2023_partial,current_contract,sector_leader,s0_strong_no_ma,momentum_trail_4pct_5d,2022,5,5,1.0,0.03474736073799911,0.03474736073799911,0.0,0.03474736073799911,0.03474736073799911,0.03474736073799911,0.03474736073799911
primary_development_2022_2023_partial,current_contract,sector_leader,s0_strong_no_ma,momentum_trail_4pct_5d,2023,5,0,0.0,-0.028865410196078134,-0.028865410196078134,0.0,-0.028865410196078134,-0.028865410196078134,-0.028865410196078134,-0.028865410196078134
primary_development_2022_2023_partial,current_contract,random_hash,s4_reclaim_amount_acceleration,momentum_trail_4pct_5d,2022,5,0,0.0,-0.16517206830566397,-0.11546384979674884,0.09997722548200638,-0.3261827925520234,-0.23179875049248488,-0.10183319412673542,-0.05058175456032732
primary_development_2022_2023_partial,current_contract,random_hash,s4_reclaim_amount_acceleration,momentum_trail_4pct_5d,2023,5,4,0.8,0.12979288924008464,0.1264822448260754,0.09641426538533077,-0.03811510849336297,0.11641096673504103,0.19910690724683877,0.24507943588583103
primary_development_2022_2023_partial,current_contract,flow_quality,s4_reclaim_amount_acceleration,next_open_5d,2022,5,2,0.4,-0.07152024298948911,-0.07732654888184476,0.09410004313265881,-0.20597549477017563,-0.13562360668230122,0.0064711977774754015,0.05485323760940064
primary_development_2022_2023_partial,current_contract,flow_quality,s4_reclaim_amount_acceleration,next_open_5d,2023,5,4,0.8,0.11703804014168026,0.05709614679682229,0.12250175557285954,-0.0037352924180062974,0.04987663143328058,0.1370001478047731,0.34495256709153166
