sample_group,sample_variant,selection_ranker,selection_seed,strategy_id,policy_id,signal_year,net_return,maximum_drawdown
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_touch_immediate,fast_failure_2pct_target4pct_2d,2022,-0.2265008396,-0.2363299529
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_touch_immediate,fast_failure_2pct_target4pct_2d,2023,-0.0083851282,-0.257643181
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_touch_reclaim,next_open_1d,2022,-0.3517923772,-0.3608071187
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_touch_reclaim,next_open_1d,2023,-0.0840006221,-0.4174721389
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_touch_reclaim,next_open_2d,2022,-0.389288557,-0.429880443
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_touch_reclaim,next_open_2d,2023,-0.0642310729,-0.4613111001
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_touch_reclaim,next_open_3d,2022,-0.4137796654,-0.4412458459
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_touch_reclaim,next_open_3d,2023,-0.0933325562,-0.5528929227
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_touch_reclaim,next_open_5d,2022,-0.0379100787,-0.2434786027
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_touch_reclaim,next_open_5d,2023,-0.009770717,-0.1506688824
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_touch_reclaim,protect_3pct_target6pct_3d,2022,-0.3198184543,-0.3382642185
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_touch_reclaim,protect_3pct_target6pct_3d,2023,-0.0361953268,-0.3585297988
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_touch_reclaim,momentum_trail_4pct_5d,2022,-0.0258565668,-0.2385358387
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_touch_reclaim,momentum_trail_4pct_5d,2023,0.1129393523,-0.1744747393
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_touch_reclaim,fast_failure_2pct_target4pct_2d,2022,-0.3552212878,-0.3682508693
primary_development_2022_2023_partial,current_contract,random_hash,0,s1_touch_reclaim,fast_failure_2pct_target4pct_2d,2023,0.0133341327,-0.3670546296
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_first_touch_reclaim,next_open_1d,2022,-0.3951095196,-0.4590796181
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_first_touch_reclaim,next_open_1d,2023,-0.0357309491,-0.4610582153
primary_development_2022_2023_partial,current_contract,random_hash,0,s2_first_touch_reclaim,next_open_2d,2022,-0.2883257995,-0.3518345322
