date_idx,trade_date,candidate_count,endpoint_mean,endpoint_mean_log_return
3315,2023-08-24,1724,-0.0046687760091908845,-0.007365463890246172
3316,2023-08-25,1727,-0.02856053851743579,-0.03163937953208276
3317,2023-08-28,1713,0.005659951589880886,0.002509547494671587
3318,2023-08-29,1716,-0.024251677675558296,-0.02735834352363898
3319,2023-08-30,1710,-0.018445465857590607,-0.02132562504859604
3320,2023-08-31,1707,-0.006983286064507153,-0.009390780084670277
3321,2023-09-01,1705,-0.017184682887134928,-0.02009298471545001
3322,2023-09-04,1708,-0.03225116344752631,-0.03567913621865588
3323,2023-09-05,1703,-0.024566266337025165,-0.02780896980298168
3324,2023-09-06,1704,-0.018365495764901683,-0.02149079539420965
3325,2023-09-07,1700,-0.008935003566199584,-0.012852761292764038
3326,2023-09-08,1697,-0.018111611428901015,-0.02225247737064019
3327,2023-09-11,1695,-0.02837858237297385,-0.03235384032097585
3328,2023-09-12,1694,-0.041529972243697,-0.046491230243339746
3329,2023-09-13,1692,-0.04580840948375628,-0.05043870872478054
3330,2023-09-14,1689,-0.05237647073587117,-0.05694112573579338
3331,2023-09-15,1699,-0.06901708604931545,-0.07513053864291612
3332,2023-09-18,1694,-0.05658591037588069,-0.06260392110118256
3333,2023-09-19,1697,-0.03770078005623561,-0.04335404555984041
3334,2023-09-20,1697,-0.026998923592492015,-0.03257752578610717
3335,2023-09-21,1701,-0.005982091202841921,-0.010785079101763705
3336,2023-09-22,1700,-0.013823249068501514,-0.01889383659452646
3337,2023-09-25,1693,-0.012718492968680713,-0.017785845973383327
3338,2023-09-26,1691,-0.00888624730873327,-0.013973373648121486
3339,2023-09-27,1684,-0.026538367210650254,-0.03083651193535567
3340,2023-09-28,1676,-0.019384426026238875,-0.0233874349949229
3341,2023-10-09,1674,-0.0010388347979806355,-0.004774745010085736
3342,2023-10-10,1674,0.005109515386690461,0.001503660118232662
3343,2023-10-11,1674,0.004397421951032674,0.0007643448184470818
3344,2023-10-12,1670,-0.00048681586875557945,-0.0036051404444897624
3345,2023-10-13,1670,-0.002183009239511765,-0.0052936747132134795
3346,2023-10-16,1672,0.011946448691355836,0.00871140355439546
3347,2023-10-17,1668,0.020872502165241558,0.017270094401675328
3348,2023-10-18,1675,0.045442441354276365,0.04126921577673412
3349,2023-10-19,1673,0.05234928253038997,0.04757123131886832
3350,2023-10-20,1671,0.06663129772305548,0.060667930734687896
3351,2023-10-23,1669,0.0901299496004489,0.08218070137817232
3352,2023-10-24,1667,0.06551501676777369,0.05957991424878749
3353,2023-10-25,1670,0.05549576935312337,0.05050497919909801
3354,2023-10-26,1671,0.05773863066375876,0.05305648029086863
3355,2023-10-27,1681,0.03192649897982495,0.028553919375291635
3356,2023-10-30,1690,0.019419371623526253,0.016686116453059043
3357,2023-10-31,1688,0.02818615156799764,0.024987165182294643
3358,2023-11-01,1681,0.022410990461592985,0.019519095061100167
3359,2023-11-02,1681,0.026513824611334356,0.023683758693085123
3360,2023-11-03,1679,0.016947846128513955,0.014309447639907534
3361,2023-11-06,1676,0.006534264850029266,0.0036942908771232597
3362,2023-11-07,1678,-0.014101581003458496,-0.017215275395039416
3363,2023-11-08,1684,-0.009591207491477837,-0.012580860679962952
3364,2023-11-09,1681,-0.004288477048259572,-0.00738189339985474
3365,2023-11-10,1683,-0.012854941426685043,-0.015989995782853282
3366,2023-11-13,1687,-0.006255147768881241,-0.009503108429812893
3367,2023-11-14,1696,-0.013691878325671324,-0.017176119794984995
3368,2023-11-15,1692,-0.01932339264967767,-0.023421387924651167
3369,2023-11-16,1690,-0.01547125423700444,-0.019079609612987592
3370,2023-11-17,1689,-0.030055054254028657,-0.03398006573915322
3371,2023-11-20,1695,-0.04805483637679132,-0.0529093445294042
3372,2023-11-21,1695,-0.04355359435937255,-0.04791427119435331
3373,2023-11-22,1686,-0.049260908141201924,-0.05371084711752023
3374,2023-11-23,1690,-0.05282745387357971,-0.05736440013558631
3375,2023-11-24,1689,-0.05242758438763385,-0.056669852201693356
3376,2023-11-27,1689,-0.050185948387693365,-0.05440095343741241
3377,2023-11-28,1688,-0.06615768285451049,-0.0717553336557575
3378,2023-11-29,1689,-0.0529310386086502,-0.05741137767308577
3379,2023-11-30,1687,-0.03491746308853053,-0.03828975706758179
