top_k,slot_count,policy_name,mean_year_rank,worst_year_rank,positive_year_count,worst_year_return,mean_year_return,annualized_log_growth,signal_period_total_return,signal_period_maximum_drawdown
3,12,fixed_d4,552.3333333333334,697.0,6,0.0451844978398146,0.20533080513991234,0.1886651791066559,1.9722427660894546,-0.2516506178237877
2,24,fixed_d13,533.0,851.0,6,0.03309883873011876,0.2077831969788366,0.18657888294777558,1.9366542740347499,-0.15379754430603587
2,24,fixed_d12,530.8333333333334,824.0,6,0.03254634551678959,0.20662488082194172,0.18522538900025623,1.913794300097745,-0.12513878684382385
3,48,fixed_d43,554.6666666666666,728.0,6,0.0024595651393126694,0.20060073513848167,0.18279051975911043,1.873117404240093,-0.23671019710579277
3,48,fixed_d42,553.3333333333334,736.0,6,0.004235467517035296,0.19850892720265664,0.18106734664910323,1.8446737056204547,-0.24744327875479533
3,48,fixed_d34,554.5,845.0,6,0.01300073442635652,0.19470139075606804,0.17691717417274117,1.777318975760878,-0.22265306769999293
3,48,fixed_d35,555.6666666666666,836.0,6,0.022368433506616103,0.193664796346536,0.17583086253385288,1.75995371228613,-0.24476858229462706
2,24,fixed_d11,560.0,820.0,6,0.03437674560862036,0.19534045158662947,0.17529881890027357,1.7514883682269593,-0.1252560096979901
3,24,fixed_d10,603.8333333333334,813.0,6,0.005103200475671477,0.19340804998681405,0.17069190976150841,1.6792651903383229,-0.20714967870764234
3,48,fixed_d41,577.5,767.0,6,0.0066078372681674935,0.18544866583223732,0.17068108561887746,1.6790977507723035,-0.24418731106156322
3,48,fixed_d40,564.1666666666666,779.0,6,0.012889604423457879,0.1844087969170224,0.17043398365836956,1.675278154753411,-0.2419512232259199
3,48,fixed_d33,589.8333333333334,855.0,6,0.013344120484005018,0.1827073366312898,0.16688549300629618,1.6210239155916977,-0.22704245536185208
2,24,rolling_path,564.8333333333334,857.0,6,0.031704851396090694,0.18499625867084438,0.16681182030998998,1.6199092421960413,-0.17666589758973394
3,48,fixed_d32,598.1666666666666,852.0,6,0.0009463560437794616,0.18309020548610203,0.16590689992342184,1.6062563391337896,-0.22883111804395784
3,24,fixed_d9,607.5,827.0,6,0.03077179047098899,0.18115405522320593,0.16233857192358397,1.553109409613942,-0.18572776592547713
3,24,fixed_d8,610.0,871.0,6,0.026657673572063834,0.1751191943011633,0.15955893942171132,1.5124614350712582,-0.15866644421129594
3,48,fixed_d21,589.6666666666666,842.0,6,0.03757364003260655,0.1698326159456237,0.1584349078492297,1.496208497931843,-0.16691159950857082
3,48,fixed_d24,595.5,858.0,6,0.002622814025385445,0.1711216509995168,0.15779328432076656,1.486978121915346,-0.18205042262319004
3,48,fixed_d22,592.6666666666666,867.0,6,0.0381040451521264,0.1679104000312067,0.1563563314090711,1.466429788885073,-0.17172251147069562
3,48,fixed_d23,598.6666666666666,874.0,6,0.010055026322315364,0.1684023635118704,0.15559171592205037,1.4555651323123846,-0.169139310086317
3,48,fixed_d19,601.1666666666666,834.0,6,0.03922779111605146,0.16393076821214625,0.1530154941262759,1.4193098590283237,-0.14711067818135581
2,12,fixed_d6,612.5,911.0,6,0.0018945479381655694,0.170894161545164,0.15198204810504612,1.4049170126722599,-0.21313201785261082
3,48,fixed_d18,599.1666666666666,847.0,6,0.04143153640688424,0.16134706232964893,0.15108327193378668,1.3924693523541491,-0.14967794536288836
3,48,model_plan,590.8333333333334,895.0,6,0.022852934101542433,0.16044563379940227,0.1502676905200232,1.3812296707661638,-0.21589031674252812
3,48,fixed_d20,616.5,843.0,6,0.033988109472335326,0.16073641581746342,0.14962835141093594,1.3724557506931654,-0.16068425869818947
2,24,fixed_d10,634.0,875.0,6,0.02546190835877349,0.16742555383658644,0.1494213608542404,1.3696220654136702,-0.17419139652394244
3,24,fixed_d7,612.8333333333334,885.0,6,0.043550565677854314,0.16176001725326003,0.1489844802355767,1.3636523079794776,-0.1590124207226149
3,48,fixed_d17,613.6666666666666,866.0,6,0.040323486738627734,0.15500159287568946,0.1455381239235709,1.3170837854791886,-0.1509109643657245
3,24,fixed_d6,631.8333333333334,874.0,6,0.06406712862696495,0.1456589385323367,0.1369888282581019,1.2054849159517862,-0.1462074725187632
3,48,fixed_d16,639.1666666666666,884.0,6,0.008580645917042107,0.14242809338434156,0.1341342665655193,1.1694327020884412,-0.1411236851590707
3,48,fixed_d14,634.5,914.0,6,0.019493398859192546,0.13977911756990424,0.13153144450140034,1.1370737931782182,-0.11608118623814156
3,48,fixed_d15,637.3333333333334,906.0,6,0.02313048338847823,0.1389765723566219,0.13117124110373055,1.132633841501327,-0.1307651414715436
2,24,fixed_d9,667.3333333333334,934.0,6,0.01829661980011288,0.13956352840872555,0.12739416408375837,1.0866285674455964,-0.16646792644703357
3,48,rolling_path,639.8333333333334,902.0,6,0.03452120936645797,0.13650531235426852,0.12677448100046623,1.0791760923135318,-0.12914201348948018
3,24,fixed_d5,664.1666666666666,869.0,6,0.025294078994524627,0.13077787805545993,0.12426708680910509,1.0492922493380674,-0.13229409823341565
1,24,model_plan,667.0,926.0,6,0.0017542546681919013,0.1272081261350051,0.12114562796461881,1.012689284927336,-0.22238563792010213
2,48,fixed_d22,666.6666666666666,983.0,6,0.03076476671955808,0.12466054779385653,0.11934137734071518,0.9918311292069988,-0.10988585526033523
2,48,fixed_d21,672.6666666666666,957.0,6,0.030557286509000248,0.12177657125240837,0.11694517089511419,0.9644634242213468,-0.10508528231570147
