event,period,horizon,mean_excess_vs_date_universe,hac_se_excess_date_mean,hac_lcb_excess_date_mean
breakout60,oos_2023_2025,20,-0.016494599124366727,0.004679447252180938,-0.03201530491068018
breakout_confirmed,development_2012_2020,1,,,
breakout_confirmed,development_2012_2020,3,-0.004527588145276925,0.0006313732859347066,-0.006223890407672109
breakout_confirmed,development_2012_2020,5,-0.008455873175473853,0.0008734761381450842,-0.012448869063089696
breakout_confirmed,development_2012_2020,10,-0.010991090821643843,0.0014043084575467311,-0.017954376565820655
breakout_confirmed,development_2012_2020,20,-0.015104774333983197,0.0021244369243922836,-0.026391699729192447
breakout_confirmed,validation_2021_2022,1,,,
breakout_confirmed,validation_2021_2022,3,-0.004092682918309437,0.001165751367439951,-0.007829873510705354
breakout_confirmed,validation_2021_2022,5,-0.007180781746326433,0.0018194258659716038,-0.012934527159778485
breakout_confirmed,validation_2021_2022,10,-0.00934071758516777,0.0028494534077669205,-0.01922963007177712
breakout_confirmed,validation_2021_2022,20,-0.012073977854326895,0.0047059240694575285,-0.029829619245324263
breakout_confirmed,oos_2023_2025,1,,,
breakout_confirmed,oos_2023_2025,3,-0.0054557047204074095,0.0012952864432653648,-0.010208315192820911
breakout_confirmed,oos_2023_2025,5,-0.008918658840036205,0.0019300251619761895,-0.01684422851961159
breakout_confirmed,oos_2023_2025,10,-0.013409640479226532,0.0027333694033054366,-0.024535502214503742
breakout_confirmed,oos_2023_2025,20,-0.01805009758075176,0.00364866897865751,-0.03323615152434034
retest20,development_2012_2020,1,,,
retest20,development_2012_2020,3,-0.001292684466571154,0.000903342843109107,-0.0035697091500760175
retest20,development_2012_2020,5,-0.001011790446130448,0.0014282930072100713,-0.0055028171238604385
retest20,development_2012_2020,10,1.9361283821180513e-05,0.0021880085172651205,-0.006715864400711404
retest20,development_2012_2020,20,0.00048557027487885086,0.0033247307802023044,-0.01058685844125885
retest20,validation_2021_2022,1,,,
retest20,validation_2021_2022,3,-0.004793494035551913,0.0020657922027358037,-0.010576917977869704
retest20,validation_2021_2022,5,-0.0055740909170447096,0.0031084371082664482,-0.012845440326487805
retest20,validation_2021_2022,10,-0.008447209195608287,0.0049330481178391904,-0.020837089008375737
retest20,validation_2021_2022,20,-0.010250924986113052,0.0069308242891863705,-0.026955645527852526
