event,year,period,path_target,rows,dates,hit_rate,date_equal_hit_rate,hac_se_date_equal,hac_lcb_date_equal,median_up5_day,median_up10_day
breakout20,2017,development_2012_2020,up5_before_down3,23919,244,0.40992516409548896,0.4282566423080229,0.01222754573752341,0.40429065266247705,4.0,5.0
breakout20,2017,development_2012_2020,up10_before_down5,23919,244,0.31280571930264645,0.33212191398811436,0.011564298486275363,0.30945588895501464,4.0,5.0
breakout60,2017,development_2012_2020,up5_before_down3,12300,244,0.4584552845528455,0.4871739362197766,0.013770597577417835,0.46018356496803764,2.0,3.0
breakout60,2017,development_2012_2020,up10_before_down5,12300,244,0.3848780487804878,0.4150116542273856,0.016557601401426807,0.3825587554805891,2.0,3.0
breakout_confirmed,2017,development_2012_2020,up5_before_down3,11113,244,0.34815081436155854,0.35205281516740394,0.012746744661329272,0.3270691956311986,4.0,8.0
breakout_confirmed,2017,development_2012_2020,up10_before_down5,11113,244,0.24781787096193647,0.24494930762096076,0.012184837609710597,0.221067025905928,4.0,8.0
retest20,2017,development_2012_2020,up5_before_down3,1362,215,0.3641703377386197,0.3484474039792097,0.02872738301127034,0.29214173327711984,6.0,10.0
retest20,2017,development_2012_2020,up10_before_down5,1362,215,0.2488986784140969,0.2554759931384418,0.029772607629603404,0.19712168218441917,6.0,10.0
rebreakout20,2017,development_2012_2020,up5_before_down3,523,168,0.3575525812619503,0.38053068449602057,0.02577361035403353,0.33001440820211486,6.0,10.0
rebreakout20,2017,development_2012_2020,up10_before_down5,523,168,0.25430210325047803,0.23862947956960556,0.030859746585714457,0.17814437626160523,6.0,10.0
climax_fade,2017,development_2012_2020,up5_before_down3,192,117,0.3385416666666667,0.35560735560735557,0.0321485553941544,0.29259618703481294,3.0,5.0
climax_fade,2017,development_2012_2020,up10_before_down5,192,117,0.2864583333333333,0.29933954933954926,0.034459452536255514,0.23179902236848846,3.0,5.0
participation_shock,2018,development_2012_2020,up5_before_down3,75435,243,0.3334261284549612,0.3307319389014166,0.02467439676667781,0.2823701212387281,4.0,7.0
participation_shock,2018,development_2012_2020,up10_before_down5,75435,243,0.2407370583946444,0.24208787128753242,0.027515087679647974,0.1881582994354224,4.0,7.0
positive_participation_shock,2018,development_2012_2020,up5_before_down3,22149,243,0.32854756422411846,0.32526917234414354,0.020069992804826575,0.28593198644668344,4.0,6.0
positive_participation_shock,2018,development_2012_2020,up10_before_down5,22149,243,0.24511264616912729,0.24397574353686644,0.022820424632192964,0.19924771125776822,4.0,6.0
range_expansion,2018,development_2012_2020,up5_before_down3,42040,243,0.3430304471931494,0.3313539664361065,0.02300706863623457,0.28626011190908673,4.0,8.0
range_expansion,2018,development_2012_2020,up10_before_down5,42040,243,0.2606089438629876,0.23991076260756602,0.02526873886307818,0.1903840344359328,4.0,8.0
breakout20,2018,development_2012_2020,up5_before_down3,20908,243,0.32757796058924815,0.3420556677067225,0.018026192456528933,0.3067243304919258,3.0,5.0
breakout20,2018,development_2012_2020,up10_before_down5,20908,243,0.22622919456667304,0.2600593955273983,0.018675054960001526,0.22345628780579532,3.0,5.0
breakout60,2018,development_2012_2020,up5_before_down3,6526,242,0.3650015323322096,0.40122731119176497,0.019356714241910555,0.36328815127762026,3.0,4.0
breakout60,2018,development_2012_2020,up10_before_down5,6526,242,0.2923689855960772,0.3372412480596921,0.019994818684246095,0.29805140343856973,3.0,4.0
