rank,symbol,name,day,open_return,high_return,low_return,close_return
2,603121.SH,华培动力,34,0.513938307762146,0.5371617078781128,0.48382768034935,0.5163599848747253
2,603121.SH,华培动力,35,0.5149868130683899,0.5337446928024292,0.4835477173328399,0.5138718485832214
2,603121.SH,华培动力,36,0.5086663365364075,0.5319138765335083,0.4796072542667389,0.5120771527290344
2,603121.SH,华培动力,37,0.5099070072174072,0.5306828022003174,0.4798231720924377,0.510120153427124
2,603121.SH,华培动力,38,0.506489634513855,0.5281196236610413,0.4773168563842773,0.5081859230995178
2,603121.SH,华培动力,39,0.5036077499389648,0.5251708626747131,0.473220556974411,0.5059239268302917
2,603121.SH,华培动力,40,0.4580752551555633,0.5231865644454956,0.4058699607849121,0.4974961280822754
2,603121.SH,华培动力,41,0.5404655337333679,0.5532845854759216,0.47476926445961,0.5022926926612854
2,603121.SH,华培动力,42,0.4949646890163421,0.5237773060798645,0.4780476987361908,0.5075590014457703
2,603121.SH,华培动力,43,0.5007774829864502,0.535393476486206,0.4714028835296631,0.5068577527999878
2,603121.SH,华培动力,44,0.5086119771003723,0.5240668058395386,0.4776009917259216,0.5041874051094055
2,603121.SH,华培动力,45,0.4982607364654541,0.5191828608512878,0.4678199291229248,0.5009092688560486
2,603121.SH,华培动力,46,0.5042623281478882,0.5251295566558838,0.4691494107246399,0.5000622272491455
2,603121.SH,华培动力,47,0.499658852815628,0.519259512424469,0.4735451340675354,0.4992927610874176
2,603121.SH,华培动力,48,0.4950608909130096,0.5174252390861511,0.4658502638339996,0.4957311749458313
2,603121.SH,华培动力,49,0.4928611516952514,0.5134933590888977,0.4614664316177368,0.4919957816600799
2,603121.SH,华培动力,50,0.4908380210399627,0.5096098184585571,0.4584176242351532,0.4887182414531708
2,603121.SH,华培动力,51,0.4906674027442932,0.5112310647964478,0.4570958614349365,0.4866639971733093
2,603121.SH,华培动力,52,0.4862415492534637,0.5079584121704102,0.4573643803596496,0.484513372182846
2,603121.SH,华培动力,53,0.4818188846111297,0.5035514831542969,0.4524476826190948,0.4811294078826904
2,603121.SH,华培动力,54,0.4790798723697662,0.4991824030876159,0.4472002387046814,0.4773769080638885
2,603121.SH,华培动力,55,0.4758166372776031,0.4930276274681091,0.4448970556259155,0.4728134572505951
2,603121.SH,华培动力,56,0.4657633900642395,0.4919546842575073,0.4364550709724426,0.4699123203754425
2,603121.SH,华培动力,57,0.4691639244556427,0.4887469708919525,0.4410669803619385,0.4691835641860962
2,603121.SH,华培动力,58,0.4582985341548919,0.4871579110622406,0.4313890039920807,0.4671799838542938
2,603121.SH,华培动力,59,0.4268781542778015,0.4604437947273254,0.381872683763504,0.4441909790039062
2,603121.SH,华培动力,60,0.3805941045284271,0.4130378365516662,0.2031978666782379,0.3980261385440826
3,600791.SH,京能置业,1,0.0,0.2679911255836487,-2.921833765867632e-05,0.2649172842502594
3,600791.SH,京能置业,2,0.33164843916893,0.3329322338104248,0.2556577324867248,0.3254408836364746
3,600791.SH,京能置业,3,0.0852726772427558,0.3315463364124298,0.0849722772836685,0.3284167051315307
3,600791.SH,京能置业,4,0.3066959083080292,0.3617326617240906,0.2828843891620636,0.3611117303371429
3,600791.SH,京能置业,5,0.3934628367424011,0.407029777765274,0.3434941470623016,0.3836397528648376
3,600791.SH,京能置业,6,0.4075158536434173,0.4116629064083099,0.3860281109809875,0.4093210697174072
3,600791.SH,京能置业,7,0.4000104367733001,0.4221909046173095,0.3579194843769073,0.4207103550434112
3,600791.SH,京能置业,8,0.4525205790996551,0.4556996822357178,0.3862228691577911,0.4423251450061798
3,600791.SH,京能置业,9,0.4637619853019714,0.4728604853153229,0.452494740486145,0.4697539508342743
3,600791.SH,京能置业,10,0.4478110373020172,0.4833590686321258,0.4275985360145569,0.4804969131946563
3,600791.SH,京能置业,11,0.4813951551914215,0.4972933530807495,0.4327189922332763,0.4934767186641693
3,600791.SH,京能置业,12,0.5088607668876648,0.5120623707771301,0.4775176048278808,0.5042977929115295
3,600791.SH,京能置业,13,0.518913745880127,0.5281102061271667,0.4946032166481018,0.5171822905540466
3,600791.SH,京能置业,14,0.5221152901649475,0.5337295532226562,0.4947243630886078,0.522382378578186
3,600791.SH,京能置业,15,0.525719404220581,0.5375097990036011,0.4896815717220306,0.5240441560745239
3,600791.SH,京能置业,16,0.5223010182380676,0.5362310409545898,0.4895123839378357,0.5261995196342468
3,600791.SH,京能置业,17,0.527603268623352,0.5394531488418579,0.4940312802791595,0.5270381569862366
3,600791.SH,京能置业,18,0.5362855195999146,0.5520535111427307,0.5005202293395996,0.5288324952125549
3,600791.SH,京能置业,19,0.5317745804786682,0.5508113503456116,0.5029480457305908,0.5304896235466003
3,600791.SH,京能置业,20,0.5259048938751221,0.5478635430335999,0.4933847784996032,0.5302503108978271
3,600791.SH,京能置业,21,0.526059091091156,0.5422740578651428,0.4935930967330932,0.5283457040786743
3,600791.SH,京能置业,22,0.5264928340911865,0.5453404784202576,0.4964014291763305,0.5276579260826111
3,600791.SH,京能置业,23,0.5279726386070251,0.5479806065559387,0.498062402009964,0.5276986956596375
3,600791.SH,京能置业,24,0.5222163200378418,0.5470472574234009,0.4923690259456634,0.5267550945281982
3,600791.SH,京能置业,25,0.5206815004348755,0.5419185757637024,0.4907046258449554,0.5245991349220276
3,600791.SH,京能置业,26,0.5194871425628662,0.5400905609130859,0.4886150956153869,0.5225332379341125
3,600791.SH,京能置业,27,0.5206352472305298,0.5408028960227966,0.4899039268493652,0.5213227868080139
3,600791.SH,京能置业,28,0.5187830328941345,0.5409024357795715,0.4894768893718719,0.5203916430473328
3,600791.SH,京能置业,29,0.5148979425430298,0.5384336113929749,0.485614538192749,0.5187311172485352
3,600791.SH,京能置业,30,0.5142451524734497,0.5347289443016052,0.4834249317646026,0.5160281658172607
3,600791.SH,京能置业,31,0.5082190036773682,0.5314487218856812,0.4769725203514099,0.5126842856407166
3,600791.SH,京能置业,32,0.521844744682312,0.5414043664932251,0.4810087978839874,0.5119463801383972
3,600791.SH,京能置业,33,0.5096324682235718,0.5316540002822876,0.4823195338249206,0.511116087436676
3,600791.SH,京能置业,34,0.5053257346153259,0.5293353199958801,0.4752263128757477,0.5083721876144409
3,600791.SH,京能置业,35,0.5073828101158142,0.5260117053985596,0.4753651916980743,0.5057966113090515
3,600791.SH,京能置业,36,0.500175416469574,0.5240194797515869,0.4714341461658478,0.5040660500526428
3,600791.SH,京能置业,37,0.5020363330841064,0.5227112770080566,0.4722155034542084,0.5021050572395325
3,600791.SH,京能置业,38,0.4983738362789154,0.5200685262680054,0.4695129990577698,0.5001668334007263
3,600791.SH,京能置业,39,0.4952650666236877,0.5169833898544312,0.4649927914142608,0.4978397488594055
3,600791.SH,京能置业,40,0.4539567232131958,0.5142090320587158,0.4051798582077026,0.4898429214954376
3,600791.SH,京能置业,41,0.5308151841163635,0.5444270968437195,0.4656658172607422,0.4938291609287262
3,600791.SH,京能置业,42,0.4878241717815399,0.51534503698349,0.4697617590427398,0.4983240962028503
3,600791.SH,京能置业,43,0.4934511184692383,0.5248006582260132,0.4640110433101654,0.497361421585083
3,600791.SH,京能置业,44,0.4991103112697601,0.5151771903038025,0.4675455391407013,0.4945368766784668
3,600791.SH,京能置业,45,0.4873601198196411,0.5097503066062927,0.4574609994888305,0.4911834001541137
3,600791.SH,京能置业,46,0.4940758347511291,0.5149175524711609,0.4590269029140472,0.4899496138095855
3,600791.SH,京能置业,47,0.489344447851181,0.5091394186019897,0.4630635678768158,0.4889581501483917
3,600791.SH,京能置业,48,0.484761118888855,0.5070846676826477,0.4559063613414764,0.4856562614440918
3,600791.SH,京能置业,49,0.4820337295532226,0.502478301525116,0.4519760012626648,0.4820337295532226
3,600791.SH,京能置业,50,0.4806746542453766,0.4993882179260254,0.4488250911235809,0.4788175523281097
3,600791.SH,京能置业,51,0.4801664352416992,0.5005472898483276,0.4474686682224273,0.476788192987442
3,600791.SH,京能置业,52,0.4760588407516479,0.4975073039531708,0.4475389719009399,0.4747024774551391
3,600791.SH,京能置业,53,0.4718138575553894,0.493160992860794,0.4431166648864746,0.4715106785297394
3,600791.SH,京能置业,54,0.4691031575202942,0.4890700876712799,0.4381825625896454,0.4679547548294067
3,600791.SH,京能置业,55,0.4622265994548797,0.4806021451950073,0.4352445900440216,0.4635659158229828
3,600791.SH,京能置业,56,0.4623186588287353,0.4837255477905273,0.431357204914093,0.4610418081283569
3,600791.SH,京能置业,57,0.4597047865390777,0.4806869924068451,0.4329136610031128,0.4609414637088775
3,600791.SH,京能置业,58,0.4504160284996032,0.4788278937339782,0.4230711460113525,0.4588155746459961
3,600791.SH,京能置业,59,0.4216137826442718,0.4533486366271972,0.380014955997467,0.4374722242355346
3,600791.SH,京能置业,60,0.3742523789405823,0.4092762172222137,0.201302945613861,0.3927271962165832
4,603095.SH,越剑智能,1,0.0,0.2637066841125488,-5.084729491500184e-05,0.2595200538635254
4,603095.SH,越剑智能,2,0.3285611271858215,0.3305489122867584,0.2396681010723114,0.3134540915489197
4,603095.SH,越剑智能,3,0.0748926848173141,0.3206023275852203,0.0745310634374618,0.3157111704349518
4,603095.SH,越剑智能,4,0.3050378262996673,0.3555425405502319,0.2810854315757751,0.3551022708415985
4,603095.SH,越剑智能,5,0.3686439096927643,0.3858745694160461,0.324636697769165,0.3746291100978851
4,603095.SH,越剑智能,6,0.4302573800086975,0.4328459203243255,0.3782787322998047,0.4026280343532562
4,603095.SH,越剑智能,7,0.3966647088527679,0.4177988767623901,0.3650634884834289,0.4166256189346313
4,603095.SH,越剑智能,8,0.4542235434055328,0.4579111933708191,0.352683275938034,0.4401203393936157
4,603095.SH,越剑智能,9,0.4129003882408142,0.4672453105449676,0.4067995846271515,0.4641265869140625
4,603095.SH,越剑智能,10,0.4627253711223602,0.4780177772045135,0.4424165189266205,0.476060003042221
4,603095.SH,越剑智能,11,0.4645546376705169,0.4943706691265106,0.4234835803508758,0.4895328879356384
4,603095.SH,越剑智能,12,0.5209247469902039,0.5238764882087708,0.4712815880775451,0.5011376142501831
4,603095.SH,越剑智能,13,0.5107694268226624,0.5211394429206848,0.4889723360538482,0.5139943361282349
4,603095.SH,越剑智能,14,0.5239759087562561,0.5328736901283264,0.4924867451190948,0.5198366641998291
4,603095.SH,越剑智能,15,0.5264190435409546,0.5397121906280518,0.4885579645633697,0.522894561290741
4,603095.SH,越剑智能,16,0.524783730506897,0.535150408744812,0.4920573234558105,0.5249728560447693
4,603095.SH,越剑智能,17,0.5255954265594482,0.5360726118087769,0.4912284016609192,0.52525794506073
4,603095.SH,越剑智能,18,0.5362386703491211,0.5507233738899231,0.4973960518836975,0.527073085308075
4,603095.SH,越剑智能,19,0.5346111059188843,0.5534704923629761,0.5020855665206909,0.5293110013008118
4,603095.SH,越剑智能,20,0.520563542842865,0.5473195910453796,0.4902134537696838,0.5288445949554443
4,603095.SH,越剑智能,21,0.5228962898254395,0.5404459834098816,0.4903255105018616,0.5264818668365479
4,603095.SH,越剑智能,22,0.5215666890144348,0.5425199270248413,0.4912505149841308,0.5257630348205566
4,603095.SH,越剑智能,23,0.5265256762504578,0.5454971790313721,0.4964025318622589,0.5260598659515381
4,603095.SH,越剑智能,24,0.5203195214271545,0.546046257019043,0.4917079508304596,0.5256175994873047
4,603095.SH,越剑智能,25,0.5174986720085144,0.5415938496589661,0.4883735775947571,0.5237571001052856
4,603095.SH,越剑智能,26,0.5164169073104858,0.5384435057640076,0.4852775931358337,0.521637499332428
4,603095.SH,越剑智能,27,0.5187931060791016,0.5386751890182495,0.4879351258277893,0.5205060839653015
4,603095.SH,越剑智能,28,0.5177260041236877,0.5401062965393066,0.4890609383583069,0.5200899839401245
4,603095.SH,越剑智能,29,0.5135060548782349,0.5387912392616272,0.4850226938724518,0.5189020037651062
4,603095.SH,越剑智能,30,0.5153544545173645,0.5347878336906433,0.4836810529232025,0.5163606405258179
4,603095.SH,越剑智能,31,0.5097352266311646,0.5317717790603638,0.4780113995075226,0.5134485960006714
4,603095.SH,越剑智能,32,0.5220216512680054,0.5409371852874756,0.4825676083564758,0.5128716826438904
4,603095.SH,越剑智能,33,0.5105391144752502,0.5328512191772461,0.4833565056324005,0.5120697617530823
4,603095.SH,越剑智能,34,0.5065457820892334,0.5303905606269836,0.4763683974742889,0.5093744993209839
4,603095.SH,越剑智能,35,0.5082952976226807,0.5266587734222412,0.47621750831604,0.5067770481109619
4,603095.SH,越剑智能,36,0.5009661316871643,0.5244670510292053,0.4721583425998688,0.5049793720245361
4,603095.SH,越剑智能,37,0.5033411979675293,0.5239260196685791,0.4731996655464172,0.5030946135520935
