date_idx,trade_date,year,universe_count,is_st_count,calculated_st_rate,feature_st_rate,feature_error,one_day_change
2205,2019-01-28,2019,2840,43,0.015140845070422536,0.015140845440328121,3.699055853290112e-10,0.0
2206,2019-01-29,2019,2840,43,0.015140845070422536,0.015140845440328121,3.699055853290112e-10,0.0
2207,2019-01-30,2019,2841,43,0.015135515663498769,0.015135515481233597,-1.8226517170538692e-10,-5.329406923767349e-06
2208,2019-01-31,2019,2841,43,0.015135515663498769,0.015135515481233597,-1.8226517170538692e-10,0.0
2209,2019-02-01,2019,2842,43,0.015130190007037298,0.015130190178751945,1.717146477092646e-10,-5.325656461470721e-06
2210,2019-02-11,2019,2842,43,0.015130190007037298,0.015130190178751945,1.717146477092646e-10,0.0
2211,2019-02-12,2019,2842,43,0.015130190007037298,0.015130190178751945,1.717146477092646e-10,0.0
2212,2019-02-13,2019,2842,43,0.015130190007037298,0.015130190178751945,1.717146477092646e-10,0.0
2213,2019-02-14,2019,2842,43,0.015130190007037298,0.015130190178751945,1.717146477092646e-10,0.0
2214,2019-02-15,2019,2843,43,0.015124868097080548,0.015124867670238018,-4.26842530071303e-10,-5.321909956749679e-06
2215,2019-02-18,2019,2843,43,0.015124868097080548,0.015124867670238018,-4.26842530071303e-10,0.0
2216,2019-02-19,2019,2843,43,0.015124868097080548,0.015124867670238018,-4.26842530071303e-10,0.0
2217,2019-02-20,2019,2843,43,0.015124868097080548,0.015124867670238018,-4.26842530071303e-10,0.0
2218,2019-02-21,2019,2843,43,0.015124868097080548,0.015124867670238018,-4.26842530071303e-10,0.0
2219,2019-02-22,2019,2844,43,0.015119549929676512,0.015119549818336964,-1.1133954869180229e-10,-5.318167404035762e-06
2220,2019-02-25,2019,2844,43,0.015119549929676512,0.015119549818336964,-1.1133954869180229e-10,0.0
2221,2019-02-26,2019,2845,43,0.015114235500878734,0.015114235691726208,1.9084747324149554e-10,-5.314428797777854e-06
2222,2019-02-27,2019,2845,43,0.015114235500878734,0.015114235691726208,1.9084747324149554e-10,0.0
2223,2019-02-28,2019,2845,43,0.015114235500878734,0.015114235691726208,1.9084747324149554e-10,0.0
2224,2019-03-01,2019,2846,43,0.015108924806746311,0.015108924359083176,-4.4766313572752736e-10,-5.310694132423105e-06
2225,2019-03-04,2019,2846,43,0.015108924806746311,0.015108924359083176,-4.4766313572752736e-10,0.0
2226,2019-03-05,2019,2846,43,0.015108924806746311,0.015108924359083176,-4.4766313572752736e-10,0.0
2227,2019-03-06,2019,2846,43,0.015108924806746311,0.015108924359083176,-4.4766313572752736e-10,0.0
2228,2019-03-07,2019,2846,43,0.015108924806746311,0.015108924359083176,-4.4766313572752736e-10,0.0
2229,2019-03-08,2019,2846,43,0.015108924806746311,0.015108924359083176,-4.4766313572752736e-10,0.0
2230,2019-03-11,2019,2847,43,0.01510361784334387,0.015103617683053017,-1.6029085350699468e-10,-5.306963402441217e-06
2231,2019-03-12,2019,2847,43,0.01510361784334387,0.015103617683053017,-1.6029085350699468e-10,0.0
2232,2019-03-13,2019,2847,43,0.01510361784334387,0.015103617683053017,-1.6029085350699468e-10,0.0
2233,2019-03-14,2019,2847,43,0.01510361784334387,0.015103617683053017,-1.6029085350699468e-10,0.0
2234,2019-03-15,2019,2848,43,0.015098314606741573,0.015098314732313156,1.255715826459225e-10,-5.303236602296688e-06
2235,2019-03-18,2019,2848,43,0.015098314606741573,0.015098314732313156,1.255715826459225e-10,0.0
2236,2019-03-19,2019,2848,42,0.014747191011235955,0.014747191220521927,2.092859722330198e-10,-0.00035112359550561884
2237,2019-03-20,2019,2848,42,0.014747191011235955,0.014747191220521927,2.092859722330198e-10,0.0
2238,2019-03-21,2019,2848,42,0.014747191011235955,0.014747191220521927,2.092859722330198e-10,0.0
2239,2019-03-22,2019,2848,42,0.014747191011235955,0.014747191220521927,2.092859722330198e-10,0.0
2240,2019-03-25,2019,2848,42,0.014747191011235955,0.014747191220521927,2.092859722330198e-10,0.0
2241,2019-03-26,2019,2850,42,0.014736842105263158,0.0147368423640728,2.5880964212021684e-10,-1.0348905972797084e-05
2242,2019-03-27,2019,2850,42,0.014736842105263158,0.0147368423640728,2.5880964212021684e-10,0.0
2243,2019-03-28,2019,2851,44,0.015433181339880744,0.015433181077241898,-2.626388464349594e-10,0.0006963392346175865
2244,2019-03-29,2019,2851,45,0.01578393546124167,0.01578393578529358,3.240519103053785e-10,0.0003507541213609248
2245,2019-04-01,2019,2851,45,0.01578393546124167,0.01578393578529358,3.240519103053785e-10,0.0
2246,2019-04-02,2019,2852,45,0.015778401122019635,0.015778401866555214,7.445355790225427e-10,-5.5343392220338905e-06
2247,2019-04-03,2019,2852,45,0.015778401122019635,0.015778401866555214,7.445355790225427e-10,0.0
2248,2019-04-04,2019,2852,46,0.016129032258064516,0.016129031777381897,-4.806826187087054e-10,0.0003506311360448808
2249,2019-04-08,2019,2852,46,0.016129032258064516,0.016129031777381897,-4.806826187087054e-10,0.0
2250,2019-04-09,2019,2852,46,0.016129032258064516,0.016129031777381897,-4.806826187087054e-10,0.0
2251,2019-04-10,2019,2852,48,0.016830294530154277,0.01683029532432556,7.941712842907123e-10,0.0007012622720897616
2252,2019-04-11,2019,2852,48,0.016830294530154277,0.01683029532432556,7.941712842907123e-10,0.0
2253,2019-04-12,2019,2852,50,0.01753155680224404,0.017531557008624077,2.0638003805917293e-10,0.0007012622720897616
2254,2019-04-15,2019,2853,50,0.01752541184717841,0.017525412142276764,2.950983554739217e-10,-6.144955065630342e-06
2255,2019-04-16,2019,2854,50,0.01751927119831815,0.01751927100121975,-1.9709840010095903e-10,-6.1406488602588905e-06
2256,2019-04-17,2019,2854,51,0.017869656622284513,0.017869656905531883,2.8324737000318123e-10,0.0003503854239663637
2257,2019-04-18,2019,2854,51,0.017869656622284513,0.017869656905531883,2.8324737000318123e-10,0.0
2258,2019-04-19,2019,2854,51,0.017869656622284513,0.017869656905531883,2.8324737000318123e-10,0.0
2259,2019-04-22,2019,2854,51,0.017869656622284513,0.017869656905531883,2.8324737000318123e-10,0.0
2260,2019-04-23,2019,2854,51,0.017869656622284513,0.017869656905531883,2.8324737000318123e-10,0.0
2261,2019-04-24,2019,2854,52,0.018220042046250877,0.018220042809844017,7.635931401073215e-10,0.0003503854239663637
2262,2019-04-25,2019,2854,52,0.018220042046250877,0.018220042809844017,7.635931401073215e-10,0.0
2263,2019-04-26,2019,2854,57,0.019971969166082692,0.019971968606114388,-5.599683043644443e-10,0.001751927119831815
2264,2019-04-29,2019,2855,60,0.021015761821366025,0.02101576142013073,-4.0123529498892196e-10,0.0010437926552833328
2265,2019-04-30,2019,2855,64,0.022416812609457094,0.022416813299059868,6.896027741898347e-10,0.001401050788091069
2266,2019-05-06,2019,2855,73,0.025569176882661998,0.02556917630136013,-5.81301867752515e-10,0.0031523642732049044
2267,2019-05-07,2019,2855,73,0.025569176882661998,0.02556917630136013,-5.81301867752515e-10,0.0
2268,2019-05-08,2019,2856,73,0.025560224089635854,0.025560224428772926,3.391370725913667e-10,-8.952793026144323e-06
2269,2019-05-09,2019,2857,73,0.025551277563878195,0.02555127814412117,5.80242975195544e-10,-8.94652575765889e-06
2270,2019-05-10,2019,2857,73,0.025551277563878195,0.02555127814412117,5.80242975195544e-10,0.0
